approach,queues,messages_generated,messages_processed,completion_rate,throughput_msgs_per_sec,per_queue_throughput,ordering_correct,test_duration_sec
naive,1,50000,30676,61.352,15264.8,15264.8,1,2.00959
epoch,1,50000,50000,100,24873.7,24873.7,1,2.01015
naive,2,100000,28359,28.359,14082.5,7041.25,0,2.01378
epoch,2,100000,100000,100,49527.7,24763.8,1,2.01907
naive,4,200000,29921,14.9605,14751.1,3687.78,0,2.02839
epoch,4,200000,200000,100,98256.5,24564.1,1,2.03549
naive,8,400000,30420,7.605,14869.7,1858.72,0,2.04577
epoch,8,400000,400000,100,193952,24244,1,2.06237
naive,12,360000,29052,8.07,14286.8,1190.57,0,2.03349
epoch,12,360000,360000,100,176720,14726.7,1,2.03712
naive,16,480000,29041,6.05021,14276.8,892.301,0,2.03414
epoch,16,480000,480000,100,236945,14809.1,1,2.02578
naive,20,400000,28795,7.19875,14352.2,717.612,0,2.00631
epoch,20,400000,400000,100,199373,9968.67,1,2.00629
naive,24,480000,28464,5.93,14182.6,590.941,0,2.00697
epoch,24,480000,480000,100,239131,9963.81,1,2.00726
naive,28,560000,28571,5.10196,14228,508.144,0,2.00808
epoch,28,560000,560000,100,278751,9955.38,1,2.00896
naive,32,640000,28523,4.45672,14192.6,443.518,0,2.00971
epoch,32,640000,640000,100,318426,9950.81,1,2.00989
