Timestamp(ms),Broker_0_GBps,Broker_1_GBps,Broker_2_GBps,Broker_3_GBps,Total_GBps
4415,0.551605,2.3901,2.3901,2.3901,7.7219
4421,2.89268,2.11449,2.02255,2.03419,9.06391
4426,3.02563,2.02255,2.11449,2.06089,9.22356
4431,1.97659,1.93062,1.93062,1.97258,7.8104
4436,1.75819,1.74675,1.74675,1.74675,6.99844
4441,1.76983,1.83868,1.85032,1.83868,7.29752
4446,1.81561,1.82076,1.82705,1.75838,7.22179
4451,2.00291,1.94855,1.93062,2.01092,7.89299
4456,1.94054,1.93062,1.93138,1.9537,7.75623
4461,1.84841,1.83868,1.8734,1.81561,7.3761
4466,1.75838,1.74675,1.80321,1.74675,7.05509
4471,1.74675,1.8095,1.74675,1.74675,7.04975
4476,1.83868,1.8652,1.83868,1.85032,7.39288
4481,1.85013,1.82419,1.83868,1.82705,7.34005
4486,1.94206,1.85585,1.94016,1.93062,7.66869
4492,1.87321,1.93062,1.82915,1.93672,7.56969
4497,1.80893,1.83868,1.83868,1.83258,7.31888
4502,1.70746,1.74675,1.75838,1.65482,6.86741
4507,1.83868,1.74675,1.73512,1.83868,7.15923
4512,1.8137,1.83868,1.83868,1.74675,7.23782
4517,1.9556,1.93062,1.93062,2.03419,7.85103
4522,1.9598,1.93062,2.00958,1.91898,7.81898
4527,1.90144,1.93062,1.85165,1.93062,7.61433
4532,1.72386,1.74675,1.74675,1.74675,6.96411
4537,1.68934,1.74675,1.75838,1.74675,6.94122
4542,1.91898,1.90029,1.91898,1.85032,7.58858
4547,1.88465,1.87054,1.85032,1.82705,7.43256
4553,1.91917,1.92909,1.91898,2.00424,7.77149
4558,1.83868,1.74675,1.83868,1.77746,7.20158
4563,1.68896,1.74675,1.65482,1.73435,6.82487
4568,1.60923,1.65482,1.65482,1.56288,6.48174
4573,1.76964,1.75838,1.76983,1.83868,7.13654
4578,1.70135,1.73512,1.73531,1.74675,6.91853
4583,1.91936,1.83868,1.82705,1.83868,7.42378
4588,1.84937,1.92547,1.9083,1.83868,7.52182
4593,1.83868,1.79214,1.861,1.83868,7.33051
4598,1.69659,1.7065,1.65482,1.7189,6.77681
4603,1.70498,1.74675,1.74675,1.7746,6.97308
4608,1.83868,1.83868,1.83868,1.74675,7.2628
4614,1.83868,1.83868,1.74675,1.83868,7.2628
4619,1.88465,1.83868,1.93062,1.91669,7.57065
4624,1.88465,1.83868,1.83868,1.85261,7.41463
4629,1.76983,1.83868,1.83868,1.74675,7.19395
4634,1.63231,1.65482,1.65482,1.74675,6.68869
4639,1.8959,1.83868,1.83868,1.83868,7.41196
4644,1.88789,1.83868,1.83868,1.83868,7.40395
4649,1.94855,1.98517,1.93062,1.93062,7.79495
4654,1.93214,1.87607,1.99203,1.93062,7.73087
4659,1.80416,1.88255,1.77727,1.83868,7.30267
4664,1.65482,1.70288,1.74675,1.65482,6.75926
4669,1.82037,1.74675,1.74675,1.83868,7.15256
4675,1.76563,1.85032,1.83868,1.74675,7.20139
4680,1.89075,1.82705,1.83868,1.93062,7.48711
4685,1.90105,1.93062,1.93863,1.83868,7.60899
4690,1.95351,1.93062,1.92261,1.93062,7.73735
4695,1.79272,1.74675,1.75896,1.83868,7.13711
4700,1.73531,1.74675,1.73454,1.65482,6.87141
4705,1.75819,1.83868,1.83868,1.91193,7.34749
4710,1.83868,1.83868,1.83868,1.85738,7.37343
4715,2.02255,1.93062,1.98689,1.93062,7.87067
4720,1.97659,2.02255,1.96629,2.02255,7.98798
4725,1.8528,1.83868,1.83868,1.83868,7.36885
4730,1.68667,1.74274,1.65482,1.65482,6.73904
4736,1.74675,1.75076,1.83868,1.85032,7.18651
4741,1.83868,1.83868,1.83868,1.73512,7.25117
4746,1.93062,1.93062,1.93062,1.97659,7.76844
4751,1.94225,1.88522,1.83868,1.90773,7.57389
4756,1.82705,1.85871,1.83868,1.81561,7.34005
4761,1.65482,1.68018,1.74675,1.65482,6.73656
4766,1.74675,1.69582,1.69888,1.74675,6.8882
4771,1.83868,1.79768,1.79462,1.83868,7.26967
4776,1.74675,1.83868,1.83868,1.76983,7.19395
4781,1.89896,1.83868,1.83868,1.90754,7.48386
4786,1.97392,1.93062,1.93062,1.93062,7.76577
4791,1.82705,1.93062,1.83868,1.83868,7.43504
4797,1.74675,1.65482,1.76296,1.74675,6.91128
4802,1.74675,1.83868,1.4801,1.83868,6.90422
4807,2.12612,2.12612,0,2.02255,6.2748
4812,2.3098,2.28672,0,2.39029,6.98681
4817,2.20699,2.20642,0,2.20642,6.61983
4822,2.09084,2.11449,0,2.02255,6.22787
4827,2.02808,1.93062,0,1.93062,5.88932
4832,2.01702,2.11449,0,2.20642,6.33793
4837,2.16427,2.11449,0,2.11449,6.39324
4842,2.36359,2.32544,0,2.29836,6.98738
4847,2.18334,2.17934,0,2.20642,6.5691
4852,2.06852,2.11449,0,2.08244,6.26545
4858,2.27547,2.20642,0,2.23846,6.72035
4863,2.1246,2.20642,0,2.20642,6.53744
4868,2.24285,2.20642,0,2.20642,6.65569
4873,2.2543,2.20642,0,2.20642,6.66714
4878,2.11201,2.20642,0,2.20642,6.52485
4883,2.18315,2.16541,0,2.11449,6.46305
4888,2.22969,2.24743,0,2.23846,6.71558
4893,2.22931,2.20642,0,2.28939,6.72512
4898,2.12765,2.11449,0,2.06394,6.30608
4903,2.13337,2.11449,0,2.14195,6.38981
4908,2.11754,2.11449,0,2.11449,6.34651
4913,2.14844,2.13528,0,2.11449,6.3982
4919,2.20642,2.2049,0,2.20642,6.61774
4924,2.27528,2.27909,0,2.34432,6.89869
4929,2.32143,2.29912,0,2.28691,6.90746
4934,2.11449,2.20566,0,2.1719,6.49204
4939,2.33364,2.29836,0,2.29836,6.93035
4944,2.18258,2.1513,0,2.11449,6.44836
4949,2.00596,2.07767,0,2.11449,6.19812
4954,2.09656,2.02255,0,2.02255,6.14166
4959,2.14901,2.20642,0,2.20642,6.56185
4964,2.25182,2.20642,0,2.21806,6.67629
