0,1,2,3,RealTimeThroughput
1500,1600,1500,1600,6200
1500,1400,1500,1500,5900
1400,1500,1500,1400,5800
1500,1500,1400,1500,5900
1500,1400,1500,1400,5800
1400,1500,1500,1500,5900
1500,1400,1400,1500,5800
1500,1500,1500,1400,5900
1400,1500,1500,1500,5900
1500,1500,1400,1500,5900
1500,1400,1500,1400,5800
1400,1500,1400,1500,5800
1400,1300,1400,1400,5500
1400,1500,1500,1400,5800
1500,1400,1400,1500,5800
1400,1400,1400,1400,5600
1400,1400,1400,1400,5600
1500,1500,1500,1400,5900
1500,1500,1500,1500,6000
1400,1500,1400,1500,5800
1500,1400,1500,1500,5900
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1500,1500,1500,1400,5900
1500,1500,1500,1500,6000
1500,1500,1500,1600,6100
1500,1500,1500,1500,6000
1500,1500,1500,1400,5900
1500,1500,1500,1500,6000
1500,1500,1500,1600,6100
1500,1600,1500,1500,6100
1500,1400,1500,1500,5900
1500,1500,1500,1500,6000
1500,1600,1500,1500,6100
1500,1500,1600,1500,6100
1600,1500,1500,1500,6100
1500,1500,1500,1500,6000
1400,1500,1500,1500,5900
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1500,1500,1400,1500,5900
1500,1400,1500,1500,5900
1500,1500,1500,1400,5900
1400,1500,1400,1500,5800
1500,1400,1500,1500,5900
1500,1500,1500,1400,5900
1500,1500,1500,1600,6100
1500,1500,1500,1500,6000
1500,1600,1500,1500,6100
1500,1500,1500,1500,6000
1500,1500,1600,1500,6100
1500,1500,1500,1500,6000
1600,1500,1400,1500,6000
1500,1500,1600,1500,6100
1500,1500,1500,1600,6100
1500,1500,1500,1500,6000
1500,1600,1500,1500,6100
1500,1500,1500,1500,6000
1600,1500,1600,1500,6200
1500,1600,1500,1600,6200
1500,1500,1500,1500,6000
1500,1500,1600,1500,6100
1600,1500,1500,1500,6100
1500,1500,1500,1600,6100
1500,1600,1600,1500,6200
1500,1500,1500,1500,6000
1600,1500,1500,1600,6200
2400,2438,2206,2425,9469
3713,3725,3925,3650,15013
3532,3500,3488,3507,14027
3457,3494,3532,3507,13990
3538,3525,3482,3550,14095
3619,3625,3607,3562,14413
3757,3713,3500,129,11099
3894,3919,4044,0,11857
3819,3594,3688,50,11151
3957,3900,3250,473,11580
3957,3825,3519,0,11301
4019,4357,4057,0,12433
4032,4019,3869,0,11920
3944,3938,3694,0,11576
3888,3900,4019,0,11807
3932,4000,3957,0,11889
3857,3600,3532,0,10989
3894,3825,3544,674,11937
3838,4076,4182,0,12096
3832,3976,4194,0,12002
3825,3557,2981,0,10363
3825,4069,4157,0,12051
3869,3850,3907,0,11626
3888,3894,3675,0,11457
3800,3807,3919,0,11526
3850,3838,4169,786,12643
3794,3813,4276,0,11883
3757,3757,4001,0,11515
3794,3794,3844,0,11432
3782,3775,3938,0,11495
3800,3738,3663,0,11201
3813,3794,4044,724,12375
3875,3938,3863,0,11676
3844,3694,3419,0,10957
3832,3575,3482,0,10889
3863,3900,3900,0,11663
3819,3813,3757,0,11389
3907,3550,3588,0,11045
3850,4000,4138,337,12325
3794,4032,3794,0,11620
3863,3769,3925,0,11557
3794,3719,3800,0,11313
3819,4107,4101,0,12027
3894,3688,3344,0,10926
3819,3675,3800,0,11294
3825,3938,3882,0,11645
3819,3775,3575,174,11343
3819,3832,3844,0,11495
3850,3863,3944,0,11657
3850,4219,3944,0,12013
3832,3913,3832,0,11577
4119,4169,4988,0,13276
4826,5501,4801,0,15128
4757,5363,4376,0,14496
4607,5420,4469,0,14496
4588,5382,4526,0,14496
4588,5182,4382,0,14152
4463,5263,4232,0,13958
4794,5538,4707,0,15039
4601,5463,4282,0,14346
4488,5457,4507,0,14452
4613,5382,4876,0,14871
4563,5376,4307,0,14246
4526,5282,4620,0,14428
4519,5576,4506,0,14601
4619,5232,4219,0,14070
4438,5188,4032,0,13658
4576,5451,4510,0,14537
4319,5263,3891,0,13473
4526,5607,4313,0,14446
4776,5576,4425,0,14777
4763,5607,3881,0,14251
4469,5288,3437,0,13194
4544,5676,3956,0,14176
4763,5370,3862,0,13995
4638,5601,3662,0,13901
4826,6082,4656,0,15564
4769,5620,3912,0,14301
4544,5232,3374,0,13150
4644,5851,4150,0,14645
4657,6063,4065,0,14785
4619,5438,3798,0,13855
4769,5582,3967,0,14318
4626,5670,3579,0,13875
4694,5638,3738,0,14070
4613,5976,4138,0,14727
4713,5601,3561,0,13875
4807,5870,3725,0,14402
4738,5651,4059,0,14448
4626,5588,4019,0,14233
4594,5682,3774,0,14050
4607,5595,4036,0,14238
4669,5663,3847,0,14179
4657,5732,3824,0,14213
4619,5757,3849,0,14225
4713,5832,4050,0,14595
4413,5138,3129,0,12680
4407,5763,3898,0,14068
4573,5532,4121,0,14226
4410,5595,3557,0,13562
4644,5588,4168,0,14400
4538,5345,4306,0,14189
4351,5801,4108,0,14260
4549,5445,4409,0,14403
4046,5320,3001,0,12367
4347,5370,3805,0,13522
4454,5366,3692,0,13512
4370,4987,3186,0,12543
4162,4881,3383,0,12426
4175,4800,3292,0,12267
4350,5388,3984,0,13722
4343,5495,4109,0,13947
4353,5463,3823,0,13639
4388,5545,3757,0,13690
4438,5295,3587,0,13320
4488,5232,3759,0,13479
4381,5144,3515,0,13040
4418,5176,3475,0,13069
4359,5413,4012,0,13784
4496,5582,4418,0,14496
2973,4482,4768,0,12223
1294,3494,5596,0,10384
1456,2431,6741,0,10628
1762,1131,6856,0,9749
1850,0,5657,0,7507
1825,0,5626,0,7451
2019,0,5932,0,7951
2325,0,6356,0,8681
2150,0,5648,0,7798
2206,0,6033,0,8239
2188,0,3879,0,6067
2188,0,3844,0,6032
1912,0,4169,0,6081
2331,0,2738,0,5069
3219,0,2381,0,5600
2856,0,2925,0,5781
3188,0,2863,0,6051
3457,0,3063,0,6520
3145,0,2794,0,5939
2711,0,2588,0,5299
2739,0,2588,0,5327
2643,0,3157,0,5800
3213,0,2469,0,5682
2756,0,2256,0,5012
2469,0,1850,0,4319
3463,0,2019,0,5482
3044,0,2363,0,5407
2856,0,2131,0,4987
2544,0,2000,0,4544
2294,0,2400,0,4694
0,0,368,0,368
