Latency_us,CumulativeProbability
3715,0.00207469
3715,0.00414938
3715,0.00622407
3715,0.00829876
3716,0.01037344
3716,0.01244813
3716,0.01452282
3716,0.01659751
3716,0.01867220
3716,0.02074689
3716,0.02282158
3716,0.02489627
3716,0.02697095
3716,0.02904564
3716,0.03112033
3716,0.03319502
3716,0.03526971
3717,0.03734440
3717,0.03941909
3717,0.04149378
3717,0.04356846
3717,0.04564315
3717,0.04771784
3717,0.04979253
3717,0.05186722
3717,0.05394191
3717,0.05601660
3717,0.05809129
3717,0.06016598
3718,0.06224066
3718,0.06431535
3718,0.06639004
3718,0.06846473
3718,0.07053942
3718,0.07261411
3718,0.07468880
3718,0.07676349
3718,0.07883817
3718,0.08091286
3718,0.08298755
3718,0.08506224
3718,0.08713693
3718,0.08921162
3719,0.09128631
3719,0.09336100
3719,0.09543568
3719,0.09751037
3719,0.09958506
3719,0.10165975
3719,0.10373444
3719,0.10580913
3719,0.10788382
3719,0.10995851
3719,0.11203320
3719,0.11410788
3719,0.11618257
3719,0.11825726
3719,0.12033195
3720,0.12240664
3720,0.12448133
3720,0.12655602
3720,0.12863071
3720,0.13070539
3720,0.13278008
3720,0.13485477
3720,0.13692946
3720,0.13900415
3720,0.14107884
3720,0.14315353
3720,0.14522822
3720,0.14730290
3720,0.14937759
3721,0.15145228
3721,0.15352697
3721,0.15560166
3721,0.15767635
3721,0.15975104
3721,0.16182573
3721,0.16390041
3721,0.16597510
3721,0.16804979
3721,0.17012448
3721,0.17219917
3721,0.17427386
3721,0.17634855
3722,0.17842324
3722,0.18049793
3722,0.18257261
3722,0.18464730
3722,0.18672199
3722,0.18879668
3722,0.19087137
3722,0.19294606
3722,0.19502075
3722,0.19709544
3722,0.19917012
3722,0.20124481
3723,0.20331950
3723,0.20539419
3723,0.20746888
3723,0.20954357
3723,0.21161826
3723,0.21369295
3723,0.21576763
3723,0.21784232
3723,0.21991701
3723,0.22199170
3723,0.22406639
3723,0.22614108
3724,0.22821577
3724,0.23029046
3724,0.23236515
3724,0.23443983
3724,0.23651452
3724,0.23858921
3724,0.24066390
3724,0.24273859
3724,0.24481328
3724,0.24688797
3724,0.24896266
3724,0.25103734
3725,0.25311203
3725,0.25518672
3725,0.25726141
3725,0.25933610
3725,0.26141079
3725,0.26348548
3725,0.26556017
3725,0.26763485
3725,0.26970954
3725,0.27178423
3725,0.27385892
3725,0.27593361
3725,0.27800830
3725,0.28008299
3725,0.28215768
3725,0.28423237
3725,0.28630705
3726,0.28838174
3726,0.29045643
3726,0.29253112
3726,0.29460581
3726,0.29668050
3726,0.29875519
3726,0.30082988
3726,0.30290456
3726,0.30497925
3726,0.30705394
3726,0.30912863
3726,0.31120332
3726,0.31327801
