Latency_us,CumulativeProbability
1329,0.00207469
1329,0.00414938
1329,0.00622407
1329,0.00829876
1329,0.01037344
1329,0.01244813
1329,0.01452282
1329,0.01659751
1329,0.01867220
1329,0.02074689
1329,0.02282158
1329,0.02489627
1329,0.02697095
1329,0.02904564
1329,0.03112033
1329,0.03319502
1329,0.03526971
1330,0.03734440
1330,0.03941909
1330,0.04149378
1330,0.04356846
1330,0.04564315
1330,0.04771784
1330,0.04979253
1330,0.05186722
1330,0.05394191
1330,0.05601660
1330,0.05809129
1330,0.06016598
1330,0.06224066
1330,0.06431535
1330,0.06639004
1330,0.06846473
1330,0.07053942
1331,0.07261411
1331,0.07468880
1331,0.07676349
1331,0.07883817
1331,0.08091286
1331,0.08298755
1331,0.08506224
1331,0.08713693
1331,0.08921162
1331,0.09128631
1331,0.09336100
1331,0.09543568
1331,0.09751037
1331,0.09958506
1331,0.10165975
1331,0.10373444
1331,0.10580913
1332,0.10788382
1332,0.10995851
1332,0.11203320
1332,0.11410788
1332,0.11618257
1332,0.11825726
1332,0.12033195
1332,0.12240664
1332,0.12448133
1332,0.12655602
1332,0.12863071
1332,0.13070539
1332,0.13278008
1332,0.13485477
1332,0.13692946
1332,0.13900415
1335,0.14107884
1335,0.14315353
1335,0.14522822
1335,0.14730290
1335,0.14937759
1335,0.15145228
1335,0.15352697
1335,0.15560166
1335,0.15767635
1335,0.15975104
1335,0.16182573
1335,0.16390041
1335,0.16597510
1336,0.16804979
1336,0.17012448
1336,0.17219917
1336,0.17427386
1336,0.17634855
1336,0.17842324
1336,0.18049793
1336,0.18257261
1336,0.18464730
1336,0.18672199
1336,0.18879668
1336,0.19087137
1336,0.19294606
1336,0.19502075
1336,0.19709544
1336,0.19917012
1336,0.20124481
1336,0.20331950
1337,0.20539419
1337,0.20746888
1337,0.20954357
1337,0.21161826
1337,0.21369295
1337,0.21576763
1337,0.21784232
1447,0.21991701
1447,0.22199170
1447,0.22406639
1447,0.22614108
1448,0.22821577
1449,0.23029046
1720,0.23236515
1720,0.23443983
1721,0.23651452
1721,0.23858921
1721,0.24066390
1721,0.24273859
1721,0.24481328
1721,0.24688797
1721,0.24896266
1721,0.25103734
1721,0.25311203
1721,0.25518672
1721,0.25726141
1721,0.25933610
1721,0.26141079
1721,0.26348548
1721,0.26556017
1721,0.26763485
1721,0.26970954
1722,0.27178423
1722,0.27385892
1722,0.27593361
1722,0.27800830
1722,0.28008299
1722,0.28215768
1722,0.28423237
1722,0.28630705
1722,0.28838174
1722,0.29045643
1722,0.29253112
1722,0.29460581
1722,0.29668050
1722,0.29875519
1722,0.30082988
1722,0.30290456
1722,0.30497925
1722,0.30705394
1723,0.30912863
1723,0.31120332
1723,0.31327801
1723,0.31535270
1723,0.31742739
1723,0.31950207
1723,0.32157676
1723,0.32365145
1723,0.32572614
1723,0.32780083
1723,0.32987552
1723,0.33195021
1723,0.33402490
1723,0.33609959
1723,0.33817427
1723,0.34024896
1723,0.34232365
1724,0.34439834
1724,0.34647303
1724,0.34854772
1724,0.35062241
1724,0.35269710
1724,0.35477178
1724,0.35684647
1724,0.35892116
1724,0.36099585
1724,0.36307054
1724,0.36514523
1724,0.36721992
1724,0.36929461
1724,0.37136929
1724,0.37344398
1724,0.37551867
1724,0.37759336
1725,0.37966805
1725,0.38174274
1725,0.38381743
1725,0.38589212
1725,0.38796680
1725,0.39004149
1725,0.39211618
1725,0.39419087
1725,0.39626556
1725,0.39834025
1725,0.40041494
1725,0.40248963
1725,0.40456432
1725,0.40663900
1725,0.40871369
1725,0.41078838
1725,0.41286307
1725,0.41493776
1726,0.41701245
1726,0.41908714
1726,0.42116183
1726,0.42323651
1726,0.42531120
1726,0.42738589
1726,0.42946058
1726,0.43153527
1726,0.43360996
1726,0.43568465
1726,0.43775934
1726,0.43983402
1726,0.44190871
1726,0.44398340
1726,0.44605809
1726,0.44813278
1726,0.45020747
1726,0.45228216
1726,0.45435685
1726,0.45643154
1727,0.45850622
1727,0.46058091
1727,0.46265560
1727,0.46473029
1727,0.46680498
1727,0.46887967
1727,0.47095436
1727,0.47302905
1727,0.47510373
1727,0.47717842
1727,0.47925311
1727,0.48132780
1727,0.48340249
1727,0.48547718
1727,0.48755187
1727,0.48962656
1727,0.49170124
1727,0.49377593
1728,0.49585062
1728,0.49792531
1728,0.50000000
1728,0.50207469
1728,0.50414938
1728,0.50622407
1728,0.50829876
1728,0.51037344
1728,0.51244813
1728,0.51452282
1728,0.51659751
1728,0.51867220
1728,0.52074689
1728,0.52282158
1728,0.52489627
1728,0.52697095
1728,0.52904564
1728,0.53112033
1729,0.53319502
1729,0.53526971
1729,0.53734440
1729,0.53941909
1729,0.54149378
1729,0.54356846
1729,0.54564315
1729,0.54771784
1729,0.54979253
1729,0.55186722
1729,0.55394191
1729,0.55601660
1729,0.55809129
1729,0.56016598
1729,0.56224066
1729,0.56431535
1729,0.56639004
1730,0.56846473
1730,0.57053942
1730,0.57261411
1730,0.57468880
1730,0.57676349
1730,0.57883817
1730,0.58091286
1730,0.58298755
1730,0.58506224
1730,0.58713693
1730,0.58921162
1730,0.59128631
1730,0.59336100
1730,0.59543568
1730,0.59751037
1730,0.59958506
1731,0.60165975
1731,0.60373444
1731,0.60580913
1731,0.60788382
1731,0.60995851
1731,0.61203320
1731,0.61410788
1731,0.61618257
1731,0.61825726
1731,0.62033195
1731,0.62240664
1731,0.62448133
1731,0.62655602
1731,0.62863071
1731,0.63070539
1731,0.63278008
1731,0.63485477
1731,0.63692946
1731,0.63900415
1732,0.64107884
1732,0.64315353
1732,0.64522822
1732,0.64730290
1732,0.64937759
1732,0.65145228
1732,0.65352697
1732,0.65560166
1732,0.65767635
1732,0.65975104
1732,0.66182573
1732,0.66390041
1732,0.66597510
1732,0.66804979
1732,0.67012448
1732,0.67219917
1733,0.67427386
1733,0.67634855
1733,0.67842324
1733,0.68049793
1733,0.68257261
1733,0.68464730
1733,0.68672199
1733,0.68879668
1733,0.69087137
1733,0.69294606
1733,0.69502075
1733,0.69709544
1733,0.69917012
1733,0.70124481
1733,0.70331950
1733,0.70539419
1733,0.70746888
1734,0.70954357
1734,0.71161826
1734,0.71369295
1734,0.71576763
1734,0.71784232
1734,0.71991701
1734,0.72199170
1734,0.72406639
1734,0.72614108
1734,0.72821577
1734,0.73029046
1734,0.73236515
1734,0.73443983
1734,0.73651452
1734,0.73858921
1734,0.74066390
1734,0.74273859
1734,0.74481328
1734,0.74688797
1734,0.74896266
1734,0.75103734
1735,0.75311203
1735,0.75518672
1735,0.75726141
1735,0.75933610
1735,0.76141079
1735,0.76348548
1735,0.76556017
1735,0.76763485
1735,0.76970954
1735,0.77178423
1735,0.77385892
1735,0.77593361
1735,0.77800830
1735,0.78008299
1735,0.78215768
1735,0.78423237
1735,0.78630705
1735,0.78838174
1735,0.79045643
1735,0.79253112
1735,0.79460581
1736,0.79668050
1736,0.79875519
1736,0.80082988
1736,0.80290456
1736,0.80497925
1736,0.80705394
1736,0.80912863
1736,0.81120332
1736,0.81327801
1736,0.81535270
1736,0.81742739
1736,0.81950207
1736,0.82157676
1736,0.82365145
1736,0.82572614
1736,0.82780083
1736,0.82987552
1736,0.83195021
1736,0.83402490
1736,0.83609959
1737,0.83817427
1737,0.84024896
1737,0.84232365
1737,0.84439834
1737,0.84647303
1737,0.84854772
1737,0.85062241
1737,0.85269710
1737,0.85477178
1737,0.85684647
1737,0.85892116
1737,0.86099585
1737,0.86307054
1737,0.86514523
1737,0.86721992
1737,0.86929461
1737,0.87136929
1738,0.87344398
1738,0.87551867
1738,0.87759336
1738,0.87966805
1738,0.88174274
1738,0.88381743
1738,0.88589212
1738,0.88796680
1738,0.89004149
