Latency_us,CumulativeProbability
7769,0.00207469
7769,0.00414938
7769,0.00622407
7769,0.00829876
7770,0.01037344
7770,0.01244813
7770,0.01452282
7770,0.01659751
7770,0.01867220
7770,0.02074689
7770,0.02282158
7770,0.02489627
7770,0.02697095
7770,0.02904564
7770,0.03112033
7770,0.03319502
7771,0.03526971
7771,0.03734440
7771,0.03941909
7771,0.04149378
7771,0.04356846
7771,0.04564315
7771,0.04771784
7771,0.04979253
7771,0.05186722
7771,0.05394191
7771,0.05601660
7771,0.05809129
7771,0.06016598
7771,0.06224066
7771,0.06431535
7771,0.06639004
7771,0.06846473
7772,0.07053942
7772,0.07261411
7772,0.07468880
7772,0.07676349
7772,0.07883817
7772,0.08091286
7772,0.08298755
7772,0.08506224
7772,0.08713693
7772,0.08921162
7772,0.09128631
7772,0.09336100
7772,0.09543568
7773,0.09751037
7773,0.09958506
7773,0.10165975
7773,0.10373444
7773,0.10580913
7773,0.10788382
7773,0.10995851
7773,0.11203320
7773,0.11410788
7773,0.11618257
7773,0.11825726
7773,0.12033195
7773,0.12240664
7774,0.12448133
7774,0.12655602
7774,0.12863071
7774,0.13070539
7774,0.13278008
7774,0.13485477
7774,0.13692946
7774,0.13900415
7774,0.14107884
7774,0.14315353
7774,0.14522822
7774,0.14730290
7775,0.14937759
7775,0.15145228
7775,0.15352697
7775,0.15560166
7775,0.15767635
7775,0.15975104
7775,0.16182573
7775,0.16390041
7775,0.16597510
7775,0.16804979
7775,0.17012448
7775,0.17219917
7775,0.17427386
7776,0.17634855
7776,0.17842324
7776,0.18049793
7776,0.18257261
7776,0.18464730
7776,0.18672199
7776,0.18879668
7776,0.19087137
7776,0.19294606
7776,0.19502075
7776,0.19709544
7776,0.19917012
7777,0.20124481
7777,0.20331950
7777,0.20539419
7777,0.20746888
7777,0.20954357
7777,0.21161826
7777,0.21369295
7777,0.21576763
7777,0.21784232
7777,0.21991701
7777,0.22199170
7778,0.22406639
7778,0.22614108
7778,0.22821577
7806,0.23029046
8028,0.23236515
8028,0.23443983
8029,0.23651452
8029,0.23858921
8029,0.24066390
8029,0.24273859
8029,0.24481328
8029,0.24688797
8029,0.24896266
8029,0.25103734
8029,0.25311203
8029,0.25518672
8029,0.25726141
8029,0.25933610
8029,0.26141079
8030,0.26348548
8030,0.26556017
8030,0.26763485
8030,0.26970954
8030,0.27178423
8030,0.27385892
8030,0.27593361
8030,0.27800830
8030,0.28008299
8030,0.28215768
8030,0.28423237
8030,0.28630705
8031,0.28838174
8031,0.29045643
8031,0.29253112
8031,0.29460581
8031,0.29668050
8031,0.29875519
8031,0.30082988
8031,0.30290456
8031,0.30497925
8031,0.30705394
8031,0.30912863
8031,0.31120332
8031,0.31327801
8031,0.31535270
8031,0.31742739
8031,0.31950207
8032,0.32157676
8032,0.32365145
8032,0.32572614
8032,0.32780083
8032,0.32987552
8032,0.33195021
8032,0.33402490
8032,0.33609959
8032,0.33817427
8032,0.34024896
8032,0.34232365
8032,0.34439834
8032,0.34647303
8032,0.34854772
8032,0.35062241
8033,0.35269710
8033,0.35477178
8033,0.35684647
8033,0.35892116
8033,0.36099585
8033,0.36307054
8033,0.36514523
8033,0.36721992
8033,0.36929461
8033,0.37136929
8033,0.37344398
8033,0.37551867
8033,0.37759336
8033,0.37966805
8034,0.38174274
8034,0.38381743
8034,0.38589212
8034,0.38796680
8034,0.39004149
8034,0.39211618
8034,0.39419087
8034,0.39626556
8034,0.39834025
8034,0.40041494
8034,0.40248963
8034,0.40456432
8034,0.40663900
8034,0.40871369
8034,0.41078838
8034,0.41286307
8035,0.41493776
8035,0.41701245
8035,0.41908714
8035,0.42116183
8035,0.42323651
8035,0.42531120
8035,0.42738589
8035,0.42946058
8035,0.43153527
8035,0.43360996
8035,0.43568465
8035,0.43775934
8035,0.43983402
8035,0.44190871
8035,0.44398340
8035,0.44605809
8036,0.44813278
8036,0.45020747
8036,0.45228216
8036,0.45435685
8036,0.45643154
8036,0.45850622
8036,0.46058091
8036,0.46265560
8036,0.46473029
8036,0.46680498
8036,0.46887967
8036,0.47095436
8036,0.47302905
8036,0.47510373
8036,0.47717842
8036,0.47925311
8036,0.48132780
8037,0.48340249
8037,0.48547718
8037,0.48755187
8037,0.48962656
8037,0.49170124
8037,0.49377593
8037,0.49585062
8037,0.49792531
8037,0.50000000
8037,0.50207469
8037,0.50414938
8037,0.50622407
8037,0.50829876
8037,0.51037344
8037,0.51244813
8037,0.51452282
8037,0.51659751
8038,0.51867220
8038,0.52074689
8038,0.52282158
8038,0.52489627
8038,0.52697095
8038,0.52904564
8038,0.53112033
8038,0.53319502
8038,0.53526971
8038,0.53734440
8038,0.53941909
8038,0.54149378
8038,0.54356846
8038,0.54564315
8038,0.54771784
8038,0.54979253
8039,0.55186722
8039,0.55394191
8039,0.55601660
8039,0.55809129
8039,0.56016598
8039,0.56224066
8039,0.56431535
8039,0.56639004
8039,0.56846473
8039,0.57053942
8039,0.57261411
8039,0.57468880
8040,0.57676349
8040,0.57883817
8040,0.58091286
8040,0.58298755
8040,0.58506224
8040,0.58713693
8041,0.58921162
8242,0.59128631
8243,0.59336100
8243,0.59543568
8243,0.59751037
8243,0.59958506
8243,0.60165975
8243,0.60373444
8243,0.60580913
8243,0.60788382
8243,0.60995851
8243,0.61203320
8243,0.61410788
8243,0.61618257
8244,0.61825726
8244,0.62033195
8244,0.62240664
8244,0.62448133
8244,0.62655602
8244,0.62863071
8244,0.63070539
8244,0.63278008
8244,0.63485477
8244,0.63692946
8244,0.63900415
8244,0.64107884
8245,0.64315353
8245,0.64522822
8245,0.64730290
8245,0.64937759
8245,0.65145228
8245,0.65352697
8245,0.65560166
8245,0.65767635
8245,0.65975104
8245,0.66182573
8245,0.66390041
8245,0.66597510
8246,0.66804979
8246,0.67012448
8246,0.67219917
8246,0.67427386
8246,0.67634855
8246,0.67842324
8246,0.68049793
8246,0.68257261
8246,0.68464730
8246,0.68672199
8246,0.68879668
8246,0.69087137
8246,0.69294606
8246,0.69502075
8246,0.69709544
8246,0.69917012
8247,0.70124481
8247,0.70331950
8247,0.70539419
8247,0.70746888
8247,0.70954357
8247,0.71161826
8247,0.71369295
8247,0.71576763
8247,0.71784232
8247,0.71991701
8247,0.72199170
8247,0.72406639
8247,0.72614108
8248,0.72821577
8248,0.73029046
8248,0.73236515
8248,0.73443983
8248,0.73651452
8248,0.73858921
8248,0.74066390
8248,0.74273859
8248,0.74481328
8248,0.74688797
8248,0.74896266
8249,0.75103734
8249,0.75311203
8249,0.75518672
8249,0.75726141
8249,0.75933610
8249,0.76141079
8249,0.76348548
8249,0.76556017
8249,0.76763485
8249,0.76970954
8249,0.77178423
8249,0.77385892
8249,0.77593361
8250,0.77800830
8250,0.78008299
8250,0.78215768
8250,0.78423237
8250,0.78630705
8250,0.78838174
8250,0.79045643
8250,0.79253112
8250,0.79460581
8250,0.79668050
8250,0.79875519
8250,0.80082988
8250,0.80290456
8250,0.80497925
8251,0.80705394
8251,0.80912863
8251,0.81120332
8251,0.81327801
8251,0.81535270
8251,0.81742739
8251,0.81950207
8251,0.82157676
8251,0.82365145
8251,0.82572614
8251,0.82780083
8251,0.82987552
8251,0.83195021
8251,0.83402490
8251,0.83609959
8251,0.83817427
8252,0.84024896
8252,0.84232365
8252,0.84439834
8252,0.84647303
8252,0.84854772
8252,0.85062241
8252,0.85269710
8252,0.85477178
8252,0.85684647
8252,0.85892116
8252,0.86099585
8252,0.86307054
8252,0.86514523
8252,0.86721992
8252,0.86929461
8252,0.87136929
8252,0.87344398
8253,0.87551867
8253,0.87759336
8253,0.87966805
8253,0.88174274
8253,0.88381743
8253,0.88589212
8253,0.88796680
8253,0.89004149
8253,0.89211618
8253,0.89419087
8253,0.89626556
8253,0.89834025
8253,0.90041494
8254,0.90248963
8254,0.90456432
8254,0.90663900
8254,0.90871369
8254,0.91078838
8254,0.91286307
8254,0.91493776
8254,0.91701245
8254,0.91908714
8254,0.92116183
8254,0.92323651
8254,0.92531120
8255,0.92738589
8255,0.92946058
8255,0.93153527
8255,0.93360996
8255,0.93568465
8255,0.93775934
8255,0.93983402
8255,0.94190871
8255,0.94398340
8255,0.94605809
8255,0.94813278
8255,0.95020747
8255,0.95228216
8255,0.95435685
8255,0.95643154
8255,0.95850622
8256,0.96058091
8256,0.96265560
8256,0.96473029
8256,0.96680498
8256,0.96887967
8256,0.97095436
8256,0.97302905
8256,0.97510373
8256,0.97717842
8256,0.97925311
8256,0.98132780
8256,0.98340249
8257,0.98547718
8257,0.98755187
8257,0.98962656
8257,0.99170124
8257,0.99377593
8257,0.99585062
8257,0.99792531
8257,1.00000000
