system,trial,mode,ack,stage,p99_us,source,sha256
EMBARCADERO,1,baseline,1,append_send_to_ack,931.0,data/latency/slow_replica/trial_1/EMBARCADERO/baseline/stage_latency_summary_ack1.csv,a3c36eba4e466b471587eb297296bcc9de9a2ea23cf246c006cd8d29ffeeb175
EMBARCADERO,1,slow_injected,1,append_send_to_ack,1203.0,data/latency/slow_replica/trial_1/EMBARCADERO/slow_injected/stage_latency_summary_ack1.csv,1ce14ff6262230fb84380958192b62da0911eb5c3516b11b332eec677acce7f2
EMBARCADERO,2,baseline,1,append_send_to_ack,1494.0,data/latency/slow_replica/trial_2/EMBARCADERO/baseline/stage_latency_summary_ack1.csv,f8a7972b5c70a45dbeca67cb4797e12e3bf9f5d307b768464ed2c848b1db1c35
EMBARCADERO,2,slow_injected,1,append_send_to_ack,935.0,data/latency/slow_replica/trial_2/EMBARCADERO/slow_injected/stage_latency_summary_ack1.csv,b24a21847cf2c437186ba5b0f4bca73744d8a7bbc1cb9336968f4faf7c2a23a5
EMBARCADERO,3,baseline,1,append_send_to_ack,1091.0,data/latency/slow_replica/trial_3/EMBARCADERO/baseline/stage_latency_summary_ack1.csv,02c94ced689e1d5303581af0ea82e3022b4b3a1df3e0c8a1db143dd27f5af07e
EMBARCADERO,3,slow_injected,1,append_send_to_ack,1126.0,data/latency/slow_replica/trial_3/EMBARCADERO/slow_injected/stage_latency_summary_ack1.csv,537080f4b84a5a9470d268520c72e3bd8bffcbe9bc01d9f960070a8c3ab49c6e
EMBARCADERO,1,baseline,2,append_send_to_ack,392098.0,data/latency/slow_replica/trial_1/EMBARCADERO/baseline/stage_latency_summary_ack2.csv,25ca9dcec93f27acf8bb17a8237195e2d6e10df8dcd4fd421e4de5f10e170428
EMBARCADERO,1,slow_injected,2,append_send_to_ack,10475100.0,data/latency/slow_replica/trial_1/EMBARCADERO/slow_injected/stage_latency_summary_ack2.csv,cb0dbd5ef473fefa9d44f333336ae5d6434dbee83d36eb7ee0cd9851eba7f723
EMBARCADERO,2,baseline,2,append_send_to_ack,411054.0,data/latency/slow_replica/trial_2/EMBARCADERO/baseline/stage_latency_summary_ack2.csv,1449dfbf00c19ff3a1f2daf8ba74c5395023d60577863c1fc94d0d616aaa5653
EMBARCADERO,2,slow_injected,2,append_send_to_ack,10479600.0,data/latency/slow_replica/trial_2/EMBARCADERO/slow_injected/stage_latency_summary_ack2.csv,206d6843b90140698068beeaf601c425a51a74550582278b9e047cc03a49b650
EMBARCADERO,3,baseline,2,append_send_to_ack,425107.0,data/latency/slow_replica/trial_3/EMBARCADERO/baseline/stage_latency_summary_ack2.csv,4a45791b0a715c7019cef9406ee4654aca3ea8dd017f772814414cb619171c23
EMBARCADERO,3,slow_injected,2,append_send_to_ack,10475900.0,data/latency/slow_replica/trial_3/EMBARCADERO/slow_injected/stage_latency_summary_ack2.csv,4a3612183823820c732298a5be495081a86224a00900ed89af04c87fca5910f1
SCALOG,1,baseline,1,append_send_to_ack,269458.0,data/latency/slow_replica_scalog_ack1_official_806b1809/trial_1/SCALOG/baseline/stage_latency_summary_ack1.csv,a393599babb29e0e58e6ee2e0d3fa9a9bac2041f9a67c0e20db0a17e5e921904
SCALOG,1,slow_injected,1,append_send_to_ack,1255970.0,data/latency/slow_replica_scalog_ack1_official_806b1809/trial_1/SCALOG/slow_injected/stage_latency_summary_ack1.csv,bb65ce43572cabe483e975e77e978b1ddf5084b75df5929aed997b6f7020b7eb
SCALOG,2,baseline,1,append_send_to_ack,265380.0,data/latency/slow_replica_scalog_ack1_official_806b1809/trial_2/SCALOG/baseline/stage_latency_summary_ack1.csv,c568dd082de6027b0b961f171bdbe4b829fc14790fa3ee2ce9ab3bfa2c87c334
SCALOG,2,slow_injected,1,append_send_to_ack,1256450.0,data/latency/slow_replica_scalog_ack1_official_806b1809/trial_2/SCALOG/slow_injected/stage_latency_summary_ack1.csv,6fea14a3700fe918eb6bcfec8ada515c9e29ea869dc549993c4a5b934e9400e7
SCALOG,3,baseline,1,append_send_to_ack,268305.0,data/latency/slow_replica_scalog_ack1_official_806b1809/trial_3/SCALOG/baseline/stage_latency_summary_ack1.csv,7df2ce8fd6d42a006e20f5922da956d82d71a140b2325f9a3596c1d6d0f8b01b
SCALOG,3,slow_injected,1,append_send_to_ack,1257380.0,data/latency/slow_replica_scalog_ack1_official_806b1809/trial_3/SCALOG/slow_injected/stage_latency_summary_ack1.csv,db3a40e7dab3223e8fd233462d552934876341f379bfc57536984e8960af5013
