message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
128,10737418240,4,0,0,0,0,1,0,0,3479.06,0,0
128,10737418240,4,0,0,0,0,1,0,0,2014.17,0,0
128,10737418240,4,0,0,0,0,1,0,0,2409.45,0,0
128,10737418240,4,0,0,0,0,1,0,0,2085.61,0,0
128,10737418240,4,0,0,0,0,1,0,0,2548.39,0,0
512,10737418240,4,0,0,0,0,1,0,0,7523.49,0,0
512,10737418240,4,0,0,0,0,1,0,0,8630.68,0,0
512,10737418240,4,0,0,0,0,1,0,0,7981.58,0,0
512,10737418240,4,0,0,0,0,1,0,0,8753.41,0,0
512,10737418240,4,0,0,0,0,1,0,0,8362.89,0,0
1024,10737418240,4,0,0,0,0,1,0,0,9917.76,0,0
1024,10737418240,4,0,0,0,0,1,0,0,10645.1,0,0
1024,10737418240,4,0,0,0,0,1,0,0,10144.3,0,0
1024,10737418240,4,0,0,0,0,1,0,0,10170.6,0,0
1024,10737418240,4,0,0,0,0,1,0,0,10531.8,0,0
4096,10737418240,4,0,0,0,0,1,0,0,13709.7,0,0
4096,10737418240,4,0,0,0,0,1,0,0,13407.2,0,0
4096,10737418240,4,0,0,0,0,1,0,0,13755.8,0,0
4096,10737418240,4,0,0,0,0,1,0,0,13958.9,0,0
4096,10737418240,4,0,0,0,0,1,0,0,13542,0,0
65536,10737418240,4,0,0,0,0,1,0,0,13767,0,0
65536,10737418240,4,0,0,0,0,1,0,0,14036.7,0,0
65536,10737418240,4,0,0,0,0,1,0,0,13809.1,0,0
65536,10737418240,4,0,0,0,0,1,0,0,14078.5,0,0
65536,10737418240,4,0,0,0,0,1,0,0,14121.1,0,0
1048576,10737418240,4,0,0,0,0,1,0,0,14564.3,0,0
1048576,10737418240,4,0,0,0,0,1,0,0,14330.2,0,0
1048576,10737418240,4,0,0,0,0,1,0,0,14416.2,0,0
1048576,10737418240,4,0,0,0,0,1,0,0,14422.6,0,0
1048576,10737418240,4,0,0,0,0,1,0,0,14409,0,0
128,10737418240,4,2,0,1,0,1,0,0,2511.96,0,0
128,10737418240,4,2,0,1,0,1,0,0,2671.8,0,0
128,10737418240,4,2,0,1,0,1,0,0,3266.13,0,0
128,10737418240,4,2,0,1,0,1,0,0,3153.04,0,0
128,10737418240,4,2,0,1,0,1,0,0,2269.21,0,0
128,10737418240,4,2,0,2,0,1,0,0,3104.88,0,0
128,10737418240,4,2,0,2,0,1,0,0,2566.88,0,0
128,10737418240,4,2,0,2,0,1,0,0,2531.11,0,0
128,10737418240,4,2,0,2,0,1,0,0,2576.87,0,0
128,10737418240,4,2,0,2,0,1,0,0,2691.66,0,0
128,10737418240,4,2,0,3,0,1,0,0,3104.25,0,0
128,10737418240,4,2,0,3,0,1,0,0,2563.9,0,0
128,10737418240,4,2,0,3,0,1,0,0,3335.39,0,0
512,10737418240,4,2,0,1,0,1,0,0,6546.01,0,0
512,10737418240,4,2,0,1,0,1,0,0,6555.48,0,0
512,10737418240,4,2,0,1,0,1,0,0,7171.97,0,0
512,10737418240,4,2,0,1,0,1,0,0,6747.87,0,0
512,10737418240,4,2,0,1,0,1,0,0,6795.25,0,0
512,10737418240,4,2,0,2,0,1,0,0,5055.15,0,0
512,10737418240,4,2,0,2,0,1,0,0,5078.86,0,0
512,10737418240,4,2,0,2,0,1,0,0,5154.32,0,0
512,10737418240,4,2,0,2,0,1,0,0,4086.2,0,0
512,10737418240,4,2,0,2,0,1,0,0,4914.05,0,0
512,10737418240,4,2,0,3,0,1,0,0,3560.37,0,0
512,10737418240,4,2,0,3,0,1,0,0,3955,0,0
512,10737418240,4,2,0,3,0,1,0,0,3892.46,0,0
512,10737418240,4,2,0,3,0,1,0,0,3683.17,0,0
512,10737418240,4,2,0,3,0,1,0,0,3740.21,0,0
1024,10737418240,4,2,0,1,0,1,0,0,7259.18,0,0
1024,10737418240,4,2,0,1,0,1,0,0,7879.42,0,0
1024,10737418240,4,2,0,1,0,1,0,0,6720.29,0,0
1024,10737418240,4,2,0,1,0,1,0,0,7698.34,0,0
1024,10737418240,4,2,0,1,0,1,0,0,8810.89,0,0
1024,10737418240,4,2,0,2,0,1,0,0,5197.7,0,0
1024,10737418240,4,2,0,2,0,1,0,0,4793.88,0,0
1024,10737418240,4,2,0,2,0,1,0,0,5425.38,0,0
1024,10737418240,4,2,0,2,0,1,0,0,4749.66,0,0
1024,10737418240,4,2,0,2,0,1,0,0,5455.08,0,0
