message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,sequencer,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
1024,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,8385.05,0,0
1024,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,8289.53,0,0
1024,10737418240,3,1,0,1,0,1,0,0,EMBARCADERO,7472.99,0,0
1024,10737418240,3,1,0,1,0,1,0,0,EMBARCADERO,8240.55,0,0
1024,10737418240,3,2,0,1,0,1,0,0,EMBARCADERO,6706.2,0,0
1024,10737418240,3,2,0,1,0,1,0,0,EMBARCADERO,7236.69,0,0
1024,10737418240,3,2,0,1,0,1,0,0,EMBARCADERO,8349.71,0,0
1024,10737418240,3,1,0,2,0,1,0,0,EMBARCADERO,5314.96,0,0
1024,10737418240,3,1,0,2,0,1,0,0,EMBARCADERO,5545.77,0,0
1024,10737418240,3,1,0,2,0,1,0,0,EMBARCADERO,6181.79,0,0
1024,10737418240,3,1,0,2,0,1,0,0,EMBARCADERO,5517.14,0,0
1024,10737418240,3,1,0,2,0,1,0,0,EMBARCADERO,6023.19,0,0
1024,10737418240,3,2,0,2,0,1,0,0,EMBARCADERO,5877.21,0,0
1024,10737418240,3,2,0,2,0,1,0,0,EMBARCADERO,4987.7,0,0
1024,10737418240,3,2,0,2,0,1,0,0,EMBARCADERO,4959.55,0,0
1024,10737418240,3,2,0,2,0,1,0,0,EMBARCADERO,4887.46,0,0
1024,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,6415.35,0,0
1024,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,5939.82,0,0
1024,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,5348.32,0,0
1024,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,4606.42,0,0
1024,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,4608.14,0,0
1024,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,4660.35,0,0
1024,10737418240,3,1,0,3,0,1,0,0,EMBARCADERO,4570.68,0,0
1024,10737418240,3,1,0,3,0,1,0,0,EMBARCADERO,4173.66,0,0
1024,10737418240,3,1,0,3,0,1,0,0,EMBARCADERO,4562.96,0,0
1024,10737418240,3,2,0,3,0,1,0,0,EMBARCADERO,3654.73,0,0
1024,10737418240,3,2,0,3,0,1,0,0,EMBARCADERO,4066.61,0,0
1024,10737418240,3,2,0,3,0,1,0,0,EMBARCADERO,4635.27,0,0
