message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,sequencer,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4999.84,0,3658.99
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4966.89,0,4206.82
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4725.93,0,4073.24
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5178.25,0,3997.33
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4714.57,0,4227.65
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4762.37,0,4400.33
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5325.41,0,3960.6
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5284.58,0,4158.24
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5208.31,0,4190.63
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5403.4,0,4174.07
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5112.72,0,3934.94
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6465.96,0,6187.18
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7081.03,0,6229.48
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6395,0,6206.45
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6441.02,0,6114.94
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7837.22,0,6228.5
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7229.33,0,5969.68
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7860.62,0,6170.27
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7367.09,0,6329.84
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6520.23,0,6484.51
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6822.4,0,6524.58
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8218.95,0,7660.04
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8547.04,0,7289.03
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10086.6,0,7424.16
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8532.23,0,6835.24
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9077.49,0,7277.06
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7362.81,0,7361.47
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9298.62,0,7412.81
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7449.37,0,7420.34
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9633.34,0,7494.78
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8468.85,0,7383.93
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9516.78,0,7976.36
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10456.2,0,7591.65
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10042.3,0,7913.23
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7277.67,0,7277.46
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9003.22,0,8302.32
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8975.17,0,7539.17
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8577.75,0,8111.88
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7182.1,0,7182.01
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9410.01,0,7987.02
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8016.81,0,7932.87
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9464.03,0,8729.11
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10739.8,0,8419.61
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11436.5,0,8411.43
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8854.53,0,7978.11
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9962.66,0,8295.66
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11215.9,0,7996.91
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11736.3,0,7976.06
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10972.4,0,8214.81
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9872.46,0,8078.67
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11354.8,0,8839.81
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10680.1,0,8794.02
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11574.8,0,7768.05
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10166.4,0,9041.27
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10532.4,0,9009.52
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11009.2,0,8779.12
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10884.2,0,8473.01
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11555.7,0,8146.28
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10781.3,0,8847.49
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10022.9,0,9251.01
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10133.1,0,7964.17
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9089.16,0,9027.34
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11211,0,8170.92
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10853.3,0,8650.53
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9225.48,0,8846.31
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9641.98,0,8590.17
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9346.54,0,8601.81
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10711.4,0,8673.49
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9640.87,0,8842.11
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10672.7,0,8951.67
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10057.7,0,8481.2
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9838.05,0,9060.14
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9354.45,0,9352.6
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10876,0,8711.43
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10545.4,0,7772.71
