Timestamp(ms),Broker_0_GBps,Broker_1_GBps,Broker_2_GBps,Broker_3_GBps,Total_GBps
4720,1.86176,2.3901,2.43912,2.48203,9.17301
4725,2.52819,2.17857,1.97353,2.02255,8.70285
4730,2.21786,2.06203,2.20642,2.11449,8.60081
4735,2.13604,2.10285,2.11449,2.11449,8.46786
4740,1.73664,1.90582,1.78089,1.83868,7.26204
4745,1.95522,1.86348,1.98841,1.93062,7.73773
4750,1.91765,1.94225,1.91898,1.92814,7.70702
4755,2.13737,2.10285,2.06871,2.11697,8.4259
4760,2.02255,2.03419,1.98803,2.03419,8.07896
4765,1.93939,1.91898,2.02255,1.91898,7.79991
4770,1.79539,1.83868,1.74675,1.83868,7.21951
4775,1.93062,1.83868,1.93062,1.90277,7.60269
4781,1.9537,1.93062,1.96514,1.90086,7.75032
4786,1.9659,2.02255,1.92375,1.98822,7.90043
4791,1.96495,1.93062,1.9949,1.93062,7.82108
4796,1.92986,1.93062,1.93062,1.93062,7.72171
4801,1.82724,1.83868,1.83868,1.83868,7.34329
4806,1.86176,1.92108,1.83868,1.93062,7.55215
4811,1.85013,1.85986,1.87988,1.83868,7.42855
4816,2.01111,2.01092,2.07329,2.02255,8.11787
4821,2.04639,2.02255,1.98803,2.02255,8.07953
4827,1.90678,1.93062,1.90773,1.93062,7.67574
4832,1.82533,1.83258,1.80416,1.74675,7.20882
4837,1.84803,1.84479,1.83868,1.93062,7.46212
4842,1.73912,1.74675,1.83868,1.74675,7.0713
4847,2.03419,1.93062,1.93062,2.02255,7.91798
4852,2.01092,2.02293,2.02255,1.96247,8.01888
4857,1.99966,2.02217,2.02255,2.00233,8.04672
4862,1.76964,1.76144,1.74675,1.82705,7.10487
4867,1.83868,1.91593,1.93062,1.83868,7.52392
4873,1.86176,1.82953,1.76563,1.83868,7.29561
4878,1.93768,1.93977,1.91174,1.93062,7.7198
4883,1.99242,2.02255,2.02255,2.03419,8.07171
4888,1.93062,1.93062,1.93062,1.91898,7.71084
4893,1.83868,1.74675,1.76468,1.75838,7.1085
4898,1.74675,1.83868,1.82076,1.77822,7.18441
4903,1.87321,1.83868,1.92986,1.88751,7.52926
4908,1.94206,1.94225,1.86024,1.93062,7.67517
4913,2.04563,2.01092,2.0937,2.03705,8.18729
4919,2.05746,2.02255,2.02255,2.0216,8.12416
4924,1.92471,1.94225,1.93062,1.91708,7.71465
4929,1.75228,1.82705,1.83868,1.83868,7.2567
4934,1.93062,1.93062,1.9083,1.93062,7.70016
4939,1.93062,1.93062,1.88255,1.93062,7.67441
4944,2.14882,2.12135,2.12402,2.11449,8.50868
4949,2.0916,2.01569,2.10648,2.11449,8.32825
4954,1.94206,1.93062,1.90754,1.93062,7.71084
4960,1.80416,1.93062,1.8465,1.83868,7.41997
4965,1.93062,1.93062,2.01473,1.93062,7.80659
4970,2.02255,2.02255,1.97659,2.02255,8.04424
4975,2.06852,2.03419,2.06852,2.02255,8.19378
4980,1.94206,1.91898,1.93062,1.93062,7.72228
4985,1.79367,1.83868,1.74675,1.83868,7.21779
4990,1.86081,1.83868,1.86558,1.83868,7.40376
4995,1.82724,1.83868,1.90372,1.83868,7.40833
5000,1.81561,1.83868,1.8158,1.83868,7.30877
5006,2.05708,2.03419,2.00844,2.02255,8.12225
5011,1.93062,1.91898,1.96762,1.94225,7.75948
5016,1.86291,1.83868,1.78165,1.82705,7.3103
5021,1.71108,1.73912,1.80378,1.74675,7.00073
5026,1.81561,1.77288,1.78127,1.83868,7.20844
5031,1.87321,1.91212,1.8961,1.83868,7.5201
5036,2.11449,2.02255,2.02255,2.11449,8.27408
5041,1.99966,2.11449,2.02255,2.02255,8.15926
5046,1.94206,1.93062,1.9825,1.93062,7.7858
5052,1.81561,1.74675,1.79424,1.83868,7.19528
5057,1.82266,1.93062,1.83372,1.83868,7.42569
5062,1.86634,1.83868,1.8362,1.83868,7.37991
5067,1.99947,1.93062,1.93119,1.93062,7.7919
5072,1.9537,2.02255,2.05364,2.03419,8.06408
5077,2.01092,1.93062,1.96609,1.91898,7.82661
5082,1.75838,1.83868,1.79844,1.83868,7.23419
5087,1.91898,1.93062,1.90372,1.93062,7.68394
