message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
128,10737418240,4,0,0,1,0,1,0,0.2,2186.91,0,2185.64
128,10737418240,4,0,0,1,0,1,0,0.2,2791.38,0,2002.76
128,10737418240,4,0,0,1,0,1,0,0.2,4065.29,0,2728.29
128,10737418240,4,0,0,1,0,1,0,0.2,2871.75,0,1957.74
128,10737418240,4,0,0,1,0,1,0,0.2,3410.81,0,2429.06
128,10737418240,4,0,0,2,0,1,0,0.2,2079.63,0,1903.18
128,10737418240,4,0,0,2,0,1,0,0.2,2391.39,0,1783.29
128,10737418240,4,0,0,2,0,1,0,0.2,2475.54,0,1684.66
128,10737418240,4,0,0,2,0,1,0,0.2,3185.31,0,1289.41
128,10737418240,4,0,0,2,0,1,0,0.2,2952.72,0,1813.25
128,10737418240,4,0,0,3,0,1,0,0.2,2216.56,0,1491.6
128,10737418240,4,0,0,3,0,1,0,0.2,2403.96,0,1360.34
128,10737418240,4,0,0,3,0,1,0,0.2,1934.82,0,1766.84
128,10737418240,4,0,0,3,0,1,0,0.2,2082.2,0,1543.95
128,10737418240,4,0,0,3,0,1,0,0.2,1876.3,0,1875.31
512,10737418240,4,0,0,1,0,1,0,0.2,5145.31,0,5145.3
512,10737418240,4,0,0,1,0,1,0,0.2,4677.18,0,4632.29
512,10737418240,4,0,0,1,0,1,0,0.2,5221.05,0,5015.97
512,10737418240,4,0,0,1,0,1,0,0.2,5025.98,0,5025.98
512,10737418240,4,0,0,1,0,1,0,0.2,4241,0,4240.99
512,10737418240,4,0,0,2,0,1,0,0.2,4578.62,0,4578.62
512,10737418240,4,0,0,2,0,1,0,0.2,5233.49,0,4700.63
512,10737418240,4,0,0,2,0,1,0,0.2,3944.62,0,3944.62
512,10737418240,4,0,0,2,0,1,0,0.2,3197.52,0,3197.51
512,10737418240,4,0,0,2,0,1,0,0.2,3832.68,0,3832.67
512,10737418240,4,0,0,3,0,1,0,0.2,2932.85,0,2870.66
512,10737418240,4,0,0,3,0,1,0,0.2,3249.33,0,3249.33
512,10737418240,4,0,0,3,0,1,0,0.2,4873.03,0,4077.07
512,10737418240,4,0,0,3,0,1,0,0.2,3583.96,0,3566.98
512,10737418240,4,0,0,3,0,1,0,0.2,3936.19,0,3910.2
1024,10737418240,4,0,0,1,0,1,0,0.2,5207.91,0,5207.9
