message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
128,10737418240,4,0,0,0,0,1,0,0,3295.67,0,3295.66
128,10737418240,4,0,0,0,0,1,0,0,3233.57,0,3233.57
128,10737418240,4,0,0,0,0,1,0,0,3339.28,0,3339.28
128,10737418240,4,0,0,0,0,1,0,0,2577.25,0,2577.25
128,10737418240,4,0,0,0,0,1,0,0,3327.24,0,3327.24
512,10737418240,4,0,0,0,0,1,0,0,7274.53,0,7274.51
512,10737418240,4,0,0,0,0,1,0,0,7476.6,0,7476.58
512,10737418240,4,0,0,0,0,1,0,0,7340.55,0,7340.53
512,10737418240,4,0,0,0,0,1,0,0,7795.94,0,7726.99
512,10737418240,4,0,0,0,0,1,0,0,7378.71,0,7378.7
1024,10737418240,4,0,0,0,0,1,0,0,9088.91,0,8415.01
1024,10737418240,4,0,0,0,0,1,0,0,8765.09,0,8389.28
1024,10737418240,4,0,0,0,0,1,0,0,8675.03,0,8452.93
1024,10737418240,4,0,0,0,0,1,0,0,9044,0,7747.33
1024,10737418240,4,0,0,0,0,1,0,0,8675.54,0,8267.82
4096,10737418240,4,0,0,0,0,1,0,0,9916.89,0,8977.89
4096,10737418240,4,0,0,0,0,1,0,0,7147.98,0,7147.97
4096,10737418240,4,0,0,0,0,1,0,0,9587.92,0,8941.48
4096,10737418240,4,0,0,0,0,1,0,0,7100.91,0,7100.89
4096,10737418240,4,0,0,0,0,1,0,0,9859.23,0,8553.7
65536,10737418240,4,0,0,0,0,1,0,0,10086.8,0,9064.13
65536,10737418240,4,0,0,0,0,1,0,0,10025.7,0,8973.84
65536,10737418240,4,0,0,0,0,1,0,0,8416.67,0,8416.65
65536,10737418240,4,0,0,0,0,1,0,0,9777.37,0,8867.49
65536,10737418240,4,0,0,0,0,1,0,0,8321.85,0,8321.84
1048576,10737418240,4,0,0,0,0,1,0,0,10708.3,0,8780.49
1048576,10737418240,4,0,0,0,0,1,0,0,10294.8,0,9132.96
1048576,10737418240,4,0,0,0,0,1,0,0,11308.5,0,8579.34
1048576,10737418240,4,0,0,0,0,1,0,0,11308.6,0,8085.59
1048576,10737418240,4,0,0,0,0,1,0,0,10690.9,0,8812.79
128,10737418240,4,0,0,1,0,1,0,0,2385.88,0,2376.99
128,10737418240,4,0,0,1,0,1,0,0,2291.35,0,2290.71
128,10737418240,4,0,0,1,0,1,0,0,2184.82,0,2184.19
128,10737418240,4,0,0,1,0,1,0,0,2893.73,0,2533.24
128,10737418240,4,0,0,1,0,1,0,0,2638.12,0,2131.28
128,10737418240,4,0,0,2,0,1,0,0,2972.81,0,1255.31
128,10737418240,4,0,0,2,0,1,0,0,3163.27,0,1617.95
128,10737418240,4,0,0,2,0,1,0,0,2304.03,0,1549.76
128,10737418240,4,0,0,2,0,1,0,0,2526.41,0,1291.66
128,10737418240,4,0,0,2,0,1,0,0,2219.76,0,1486.34
128,10737418240,4,0,0,3,0,1,0,0,1868.7,0,1271.43
128,10737418240,4,0,0,3,0,1,0,0,1701.89,0,1540.06
128,10737418240,4,0,0,3,0,1,0,0,1940.59,0,1794.5
128,10737418240,4,0,0,3,0,1,0,0,1584.61,0,1536.71
128,10737418240,4,0,0,3,0,1,0,0,1685.11,0,1602.48
512,10737418240,4,0,0,1,0,1,0,0,5130.58,0,5130.55
512,10737418240,4,0,0,1,0,1,0,0,4602.92,0,4602.9
512,10737418240,4,0,0,1,0,1,0,0,4020.87,0,4020.86
512,10737418240,4,0,0,1,0,1,0,0,4368.35,0,4368.34
512,10737418240,4,0,0,1,0,1,0,0,5180.56,0,5180.46
512,10737418240,4,0,0,2,0,1,0,0,3124.83,0,3124.83
512,10737418240,4,0,0,2,0,1,0,0,3858.67,0,3858.67
512,10737418240,4,0,0,2,0,1,0,0,3121.04,0,3121.04
512,10737418240,4,0,0,2,0,1,0,0,3309.75,0,3309.74
512,10737418240,4,0,0,2,0,1,0,0,3234.24,0,3234.24
512,10737418240,4,0,0,3,0,1,0,0,2594.77,0,2594.46
512,10737418240,4,0,0,3,0,1,0,0,2751.12,0,2751.12
512,10737418240,4,0,0,3,0,1,0,0,2825.99,0,2825.99
512,10737418240,4,0,0,3,0,1,0,0,2453.74,0,2453.74
512,10737418240,4,0,0,3,0,1,0,0,2847.07,0,2847.07
1024,10737418240,4,0,0,1,0,1,0,0,5519.91,0,5519.9
1024,10737418240,4,0,0,1,0,1,0,0,7371.9,0,5934.11
1024,10737418240,4,0,0,1,0,1,0,0,6036.65,0,6036.64
1024,10737418240,4,0,0,1,0,1,0,0,5546.2,0,5546.19
1024,10737418240,4,0,0,1,0,1,0,0,4441.31,0,4441.3
1024,10737418240,4,0,0,2,0,1,0,0,4484.43,0,4484.42
1024,10737418240,4,0,0,2,0,1,0,0,3439.05,0,3439.04
1024,10737418240,4,0,0,2,0,1,0,0,4171.23,0,4171.23
1024,10737418240,4,0,0,2,0,1,0,0,3545.51,0,3545.5
1024,10737418240,4,0,0,2,0,1,0,0,3455.51,0,3455.51
1024,10737418240,4,0,0,3,0,1,0,0,2956.68,0,2956.67
1024,10737418240,4,0,0,3,0,1,0,0,2857.07,0,2857.07
1024,10737418240,4,0,0,3,0,1,0,0,3018.37,0,3018.37
1024,10737418240,4,0,0,3,0,1,0,0,2974.83,0,2974.83
1024,10737418240,4,0,0,3,0,1,0,0,4461.07,0,3948.74
4096,10737418240,4,0,0,1,0,1,0,0,6492.11,0,6492.1
4096,10737418240,4,0,0,1,0,1,0,0,7365.72,0,6289.45
4096,10737418240,4,0,0,1,0,1,0,0,7023.27,0,6059.98
4096,10737418240,4,0,0,1,0,1,0,0,7407.31,0,6402.55
4096,10737418240,4,0,0,1,0,1,0,0,6910.64,0,6437.92
4096,10737418240,4,0,0,2,0,1,0,0,4775.34,0,4775.34
4096,10737418240,4,0,0,2,0,1,0,0,5903.21,0,5109.88
4096,10737418240,4,0,0,2,0,1,0,0,5452,0,5411.66
4096,10737418240,4,0,0,2,0,1,0,0,5635.06,0,5104.27
4096,10737418240,4,0,0,2,0,1,0,0,5365.18,0,5365.17
4096,10737418240,4,0,0,3,0,1,0,0,5177.77,0,4484.72
4096,10737418240,4,0,0,3,0,1,0,0,4880.15,0,4571.8
4096,10737418240,4,0,0,3,0,1,0,0,4846.92,0,4747.36
4096,10737418240,4,0,0,3,0,1,0,0,4691.26,0,4621.17
4096,10737418240,4,0,0,3,0,1,0,0,4931.05,0,4648.04
65536,10737418240,4,0,0,1,0,1,0,0,7834.73,0,6437.54
65536,10737418240,4,0,0,1,0,1,0,0,7614.19,0,6761.91
65536,10737418240,4,0,0,1,0,1,0,0,7356.64,0,6952.96
65536,10737418240,4,0,0,1,0,1,0,0,6687.68,0,6687.67
65536,10737418240,4,0,0,1,0,1,0,0,6708.33,0,6657.69
65536,10737418240,4,0,0,2,0,1,0,0,5332.96,0,5289.5
65536,10737418240,4,0,0,2,0,1,0,0,5469.13,0,5431.88
65536,10737418240,4,0,0,2,0,1,0,0,6800.28,0,5357.68
65536,10737418240,4,0,0,2,0,1,0,0,5684.78,0,4904.55
65536,10737418240,4,0,0,2,0,1,0,0,5700.43,0,5453.86
65536,10737418240,4,0,0,3,0,1,0,0,5026.12,0,4688.07
65536,10737418240,4,0,0,3,0,1,0,0,3778.33,0,3778.14
65536,10737418240,4,0,0,3,0,1,0,0,3687.54,0,3687.54
65536,10737418240,4,0,0,3,0,1,0,0,5682.1,0,4565.4
65536,10737418240,4,0,0,3,0,1,0,0,3659.59,0,3638.18
1048576,10737418240,4,0,0,1,0,1,0,0,7745.29,0,6368.42
1048576,10737418240,4,0,0,1,0,1,0,0,7546.69,0,6723.81
1048576,10737418240,4,0,0,1,0,1,0,0,7869.55,0,6584.96
1048576,10737418240,4,0,0,1,0,1,0,0,7209.54,0,6659.6
1048576,10737418240,4,0,0,1,0,1,0,0,7905.02,0,6560.14
1048576,10737418240,4,0,0,2,0,1,0,0,5558.64,0,5557.4
1048576,10737418240,4,0,0,2,0,1,0,0,6117.26,0,5519.24
1048576,10737418240,4,0,0,2,0,1,0,0,5718.46,0,5715.73
1048576,10737418240,4,0,0,2,0,1,0,0,5775.33,0,5440.46
1048576,10737418240,4,0,0,2,0,1,0,0,5795.56,0,4945.45
1048576,10737418240,4,0,0,3,0,1,0,0,4316.06,0,4313.35
1048576,10737418240,4,0,0,3,0,1,0,0,4276.16,0,4273.66
1048576,10737418240,4,0,0,3,0,1,0,0,4110.3,0,4109.41
1048576,10737418240,4,0,0,3,0,1,0,0,5742.19,0,5060.45
1048576,10737418240,4,0,0,3,0,1,0,0,4900.25,0,4515.54
128,10737418240,4,2,0,1,0,1,0,0,2992.1,0,2235.44
128,10737418240,4,2,0,1,0,1,0,0,3307.06,0,1898.34
128,10737418240,4,2,0,1,0,1,0,0,2434.42,0,2245.67
128,10737418240,4,2,0,1,0,1,0,0,3363.09,0,2201.42
128,10737418240,4,2,0,1,0,1,0,0,3083.67,0,1890.61
