message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,sequencer,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6007.7,0,3645.27
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4485.68,0,4458.48
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4154.93,0,3986.58
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5396.74,0,3782.8
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4784.37,0,3556.76
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5346.4,0,3928.61
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5625.5,0,4121.18
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5482.04,0,3879.31
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5906.18,0,3759.52
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4911.66,0,4117.9
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6727.57,0,6337.15
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7045.89,0,6342.04
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6311.94,0,6258.46
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6506.2,0,6205.9
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8504.79,0,6255.79
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6602.22,0,6565.85
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6745.55,0,6429.89
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6344.89,0,6265.32
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7259.1,0,6201.11
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6437.89,0,6397.15
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8497.17,0,7344.08
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7904.82,0,7871.43
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9320.06,0,7329.75
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9154.5,0,7373.11
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10245.9,0,7182.12
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10206.3,0,7363.77
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8182.74,0,7589.79
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7507.49,0,7489.92
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9584.07,0,6964.79
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8497.71,0,7605.54
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8824.62,0,7468.71
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8400.74,0,7831.15
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8782.65,0,8277.19
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9208.55,0,7905.9
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8431.52,0,8400.69
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8598.72,0,8064.06
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9007.04,0,8311.03
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11399.5,0,7591.32
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8971.68,0,7883.34
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8411.82,0,7843.01
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9558.02,0,8755.99
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11536.1,0,8511.01
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9664.93,0,8510.73
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9295.67,0,9225.56
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10170.4,0,8382.04
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9505.66,0,8466.76
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10924.5,0,8058.33
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9740.51,0,7974.98
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9453.02,0,9118.71
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10275.4,0,7923.52
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9560.91,0,8594.19
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9483.3,0,9372.69
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9722.65,0,8887.65
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9576.76,0,9501.56
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10278.3,0,8543.21
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9614.32,0,8593.25
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10161.7,0,7944.41
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10950.5,0,8524.02
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10446.4,0,8830.36
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10802.9,0,8672.26
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10316.2,0,8435.13
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10350.9,0,8219.83
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9808.47,0,9393.43
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11205.4,0,8110.89
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9341.92,0,8183.94
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9420.49,0,8837.15
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10174.6,0,8938.95
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9858.23,0,7829.76
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11833,0,8941.82
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10393.9,0,8269.06
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11796.6,0,8569.72
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9082.5,0,9032.95
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9780.85,0,8603.97
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10119.7,0,9312.95
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10167.3,0,8611.36
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9085.81,0,8797.73
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,12631.9,0,8189.24
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10759.5,0,7949.38
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9224.63,0,8658.48
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11988.2,0,8251.67
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6007.7,0,3645.27
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4485.68,0,4458.48
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4154.93,0,3986.58
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5396.74,0,3782.8
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4784.37,0,3556.76
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5346.4,0,3928.61
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5625.5,0,4121.18
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5482.04,0,3879.31
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,5906.18,0,3759.52
128,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,4911.66,0,4117.9
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6727.57,0,6337.15
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7045.89,0,6342.04
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6311.94,0,6258.46
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6506.2,0,6205.9
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8504.79,0,6255.79
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6602.22,0,6565.85
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6745.55,0,6429.89
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6344.89,0,6265.32
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7259.1,0,6201.11
256,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,6437.89,0,6397.15
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8497.17,0,7344.08
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7904.82,0,7871.43
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9320.06,0,7329.75
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9154.5,0,7373.11
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10245.9,0,7182.12
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10206.3,0,7363.77
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8182.74,0,7589.79
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,7507.49,0,7489.92
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9584.07,0,6964.79
512,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8497.71,0,7605.54
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8824.62,0,7468.71
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8400.74,0,7831.15
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8782.65,0,8277.19
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9208.55,0,7905.9
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8431.52,0,8400.69
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8598.72,0,8064.06
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9007.04,0,8311.03
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11399.5,0,7591.32
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8971.68,0,7883.34
1024,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,8411.82,0,7843.01
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9558.02,0,8755.99
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11536.1,0,8511.01
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9664.93,0,8510.73
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9295.67,0,9225.56
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10170.4,0,8382.04
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9505.66,0,8466.76
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10924.5,0,8058.33
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9740.51,0,7974.98
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9453.02,0,9118.71
4096,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10275.4,0,7923.52
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9560.91,0,8594.19
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9483.3,0,9372.69
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9722.65,0,8887.65
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9576.76,0,9501.56
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10278.3,0,8543.21
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9614.32,0,8593.25
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10161.7,0,7944.41
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10950.5,0,8524.02
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10446.4,0,8830.36
16384,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10802.9,0,8672.26
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10316.2,0,8435.13
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10350.9,0,8219.83
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9808.47,0,9393.43
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11205.4,0,8110.89
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9341.92,0,8183.94
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9420.49,0,8837.15
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10174.6,0,8938.95
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9858.23,0,7829.76
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11833,0,8941.82
65536,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10393.9,0,8269.06
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11796.6,0,8569.72
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9082.5,0,9032.95
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9780.85,0,8603.97
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10119.7,0,9312.95
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10167.3,0,8611.36
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9085.81,0,8797.73
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,12631.9,0,8189.24
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10759.5,0,7949.38
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,9224.63,0,8658.48
262144,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,11988.2,0,8251.67
1048576,10737418240,3,1,0,0,0,1,0,0,EMBARCADERO,10152.8,0,9262.92
4096,10737418240,3,1,0,1,0,1,0,0,EMBARCADERO,6033.28,0,6012.41
128,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,4618.92,0,2643.73
128,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,3535.97,0,3535.97
128,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,4573.91,0,3147.56
128,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,4561.97,0,2999.38
128,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,4622.97,0,2310.01
128,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,3121.54,0,2830.45
128,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,2814.93,0,2814.63
128,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,3730.04,0,1708.61
128,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,2646.38,0,2318.37
128,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,4922.73,0,1329.35
128,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,2355.81,0,2320.56
128,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3316.73,0,1297.97
128,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,2858.45,0,1315.16
128,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3497.17,0,2313.91
128,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,2286.75,0,1342.32
256,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,5709.54,0,4084.97
256,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,4705.63,0,4703.66
256,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,4493.02,0,4455.2
256,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,5666.13,0,4757.16
256,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,4775.45,0,4640.58
256,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,5280.9,0,3507.97
256,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,3929.24,0,3906.34
256,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,4506.32,0,3451.03
256,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,5000.14,0,3116.52
256,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,4259.39,0,3286.58
256,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3425.38,0,3078.39
256,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3641.03,0,3347.18
256,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3188.22,0,3114.66
256,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3430.75,0,3413.19
256,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3519.89,0,3221.88
512,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,5515.6,0,5497.48
512,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,5779.53,0,5474.71
512,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,5895.96,0,5873.24
512,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,5679.64,0,5636.26
512,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,5958.24,0,5479.91
512,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,3848.84,0,3830.04
512,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,4207.62,0,4182.15
512,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,4176.73,0,4150.22
512,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,4770.69,0,4169.21
512,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,3981.84,0,3981.03
512,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3756.44,0,3731.56
512,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3519.02,0,3509.68
512,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3356.35,0,3355.32
512,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3982.64,0,3804.46
512,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3837.26,0,3811.23
1024,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,7256.31,0,5798.15
1024,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,6255.2,0,6221.72
1024,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,6472.67,0,6200.09
1024,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,6375.92,0,6375.91
1024,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,7041.32,0,5687.55
1024,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,5013.8,0,4993.76
1024,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,4591.92,0,4555.95
1024,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,5135.66,0,4978.98
1024,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,4884.97,0,4797.7
1024,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,4966.48,0,4953.92
1024,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3816.8,0,3816.5
1024,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3866.67,0,3864.32
1024,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,3885.21,0,3858.55
1024,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,4313.9,0,4230.37
1024,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,4073.03,0,3851.64
4096,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,7053.02,0,6419.37
4096,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,6962.98,0,6962.74
4096,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,6955.54,0,6655.11
4096,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,6861.61,0,6124.38
4096,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,6936.68,0,6874.6
4096,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,5968.49,0,5234.9
4096,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,5092.44,0,5060.46
4096,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,5456.65,0,5353.74
4096,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,5512.28,0,5365.34
4096,10737418240,3,0,0,2,0,1,0,0,EMBARCADERO,5365.33,0,5344.07
4096,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,4238,0,4052.6
4096,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,4544.29,0,4407.11
4096,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,4142.76,0,4142.75
4096,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,4470.94,0,4338.28
4096,10737418240,3,0,0,3,0,1,0,0,EMBARCADERO,4552.29,0,4517.98
16384,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,7317.38,0,6391.38
16384,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,7869.26,0,6213.85
16384,10737418240,3,0,0,1,0,1,0,0,EMBARCADERO,6453.32,0,6408.25
