message_size,total_message_size,num_threads_per_broker,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,sequencer_type,pub_bandwidth_mbps,sub_bandwidth_mbps,e2e_bandwidth_mbps
1024,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,5627.6803,5597.2968,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1240.3849,1240.3714,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1910.6852,1910.6538,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,1818.2519,1803.8078,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,2207.0553,2193.3259,0
1024,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,4759.2942,4759.1034,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1562.9460,1562.9276,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,2209.1033,2207.9873,0
1024,493568,3,2,4,1,false,1,0,0,EMBARCADERO,0,0,0
1024,493568,3,2,2,1,false,1,0,0,CORFU,0,0,0
1024,493568,3,1,1,1,false,1,0,0,SCALOG,0,0,0
1024,493568,3,1,1,1,false,1,0,0,SCALOG,0,0,0
1024,10737418240,3,1,4,1,false,1,0,0,EMBARCADERO,5013.4038,5012.8843,0
1024,10737418240,3,1,4,1,false,1,0,0,EMBARCADERO,3634.6401,3634.5077,0
1024,10737418240,3,1,4,1,false,1,0,0,EMBARCADERO,523.4056,523.4031,0
1024,10737418240,3,1,4,1,false,1,0,0,EMBARCADERO,4385.7446,4385.0875,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,4746.2297,4745.4343,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,2325.2382,2325.1930,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,3759.9690,3759.8795,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,4020.7390,4020.6360,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,4137.5810,4137.3370,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,4947.6102,4945.2772,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,4800.4332,4800.2341,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,5473.2206,5472.3102,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,5089.6741,5089.5164,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,4368.4936,4367.7780,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,2595.3337,2595.2753,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,1568.8250,1568.8048,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,1568.9126,1568.8922,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,3465.3868,3465.2563,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,3827.5407,3827.4171,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,2597.7093,2597.6509,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,1943.8892,1943.8476,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,774.2138,774.2075,0
1024,10737418240,3,0,1,1,false,1,0,0,EMBARCADERO,773.9897,773.9847,0
1024,10737418240,3,0,0,1,false,1,0,0,EMBARCADERO,776.8293,776.8241,0
1024,10737418240,3,0,0,1,false,1,0,0,EMBARCADERO,776.3872,776.3821,0
1024,10737418240,3,0,0,1,false,1,0,0,EMBARCADERO,4368.9190,4368.7943,0
1024,10737418240,3,0,0,1,false,1,0,0,EMBARCADERO,4472.2397,4472.1155,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,274.5734,274.5726,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,679.0906,679.0866,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,4114.2279,4113.8654,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,3054.2552,3054.1768,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,2411.6728,2411.6124,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,4561.2139,4561.0871,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,825.1870,825.1811,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,2705.6898,2705.6258,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,2393.4566,2393.4086,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,5983.0166,5618.9606,0
1024,1024000,3,0,4,1,false,1,0,0,EMBARCADERO,0,0,0
1024,1024000000,3,0,4,1,false,1,0,0,EMBARCADERO,5740.7504,5738.5935,0
1024,1024000000,3,0,4,1,false,1,0,0,EMBARCADERO,5393.7427,5386.2896,0
1024,1024000000,3,0,4,1,false,1,0,0,EMBARCADERO,5321.6851,5275.4783,0
1024,1024000000,3,0,0,1,false,1,0,0,EMBARCADERO,5861.1825,5555.7613,0
1024,10737418240,3,0,0,1,false,1,0,0,EMBARCADERO,5501.7024,5501.1470,0
1024,10737418240,3,0,0,1,false,1,0,0,EMBARCADERO,5115.5851,5114.8219,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,5234.5399,5234.3052,0
1024,10737418240,3,0,2,1,false,1,0,0,CORFU,1483.7899,1442.1826,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,5967.0582,5735.9128,0
1024,10737418240,3,0,2,1,false,1,0,0,CORFU,1693.1682,1475.0143,0
1024,10737418240,3,0,1,1,false,1,0,0,SCALOG,2051.9582,2042.4684,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,5868.5876,5822.8627,0
1024,10737418240,3,0,2,1,false,1,0,0,CORFU,1606.5226,1478.4086,0
1024,10737418240,3,0,4,1,false,1,0,0,EMBARCADERO,4392.2740,4392.1212,0
1024,10737418240,3,0,2,1,false,1,0,0,CORFU,1932.4769,1909.6927,0
