message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,sequencer,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
128,10737418240,3,2,2,1,false,1,0,0,CORFU,1217.6957,0,0
128,10737418240,3,1,1,1,false,1,0,0,CORFU,1346.8271,0,0
128,10737418240,3,1,1,1,false,1,0,0,CORFU,1335.0495,0,0
256,10737418240,3,2,2,1,false,1,0,0,CORFU,1376.3363,0,0
256,10737418240,3,2,2,1,false,1,0,0,CORFU,1230.0415,0,0
256,10737418240,3,2,2,1,false,1,0,0,CORFU,1297.1953,0,0
512,10737418240,3,2,2,1,false,1,0,0,CORFU,1451.2772,0,0
512,10737418240,3,2,2,1,false,1,0,0,CORFU,1419.5703,0,0
512,10737418240,3,2,2,1,false,1,0,0,CORFU,1316.4612,0,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1426.2199,0,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1515.7786,0,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1419.8306,0,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1376.8893,0,0
4096,10737418240,3,2,2,1,false,1,0,0,CORFU,1688.6093,0,0
4096,10737418240,3,2,2,1,false,1,0,0,CORFU,1524.4972,0,0
4096,10737418240,3,2,2,1,false,1,0,0,CORFU,1352.6346,0,0
16384,10737418240,3,2,2,1,false,1,0,0,CORFU,1477.5443,0,0
16384,10737418240,3,2,2,1,false,1,0,0,CORFU,1465.7533,0,0
16384,10737418240,3,2,2,1,false,1,0,0,CORFU,1379.5239,0,0
65536,10737418240,3,2,2,1,false,1,0,0,CORFU,1790.5164,0,0
65536,10737418240,3,2,2,1,false,1,0,0,CORFU,1814.1557,0,0
65536,10737418240,3,2,2,1,false,1,0,0,CORFU,1666.6277,0,0
65536,10737418240,3,2,2,1,false,1,0,0,CORFU,1745.9916,0,0
262144,10737418240,3,2,2,1,false,1,0,0,CORFU,1627.6607,0,0
262144,10737418240,3,2,2,1,false,1,0,0,CORFU,1707.6779,0,0
262144,10737418240,3,2,2,1,false,1,0,0,CORFU,1460.2809,0,0
1048576,10737418240,3,2,2,1,false,1,0,0,CORFU,1784.6892,0,0
1048576,10737418240,3,2,2,1,false,1,0,0,CORFU,1400.3875,0,0
1048576,10737418240,3,2,2,1,false,1,0,0,CORFU,1577.1071,0,0
128,10737418240,3,1,1,1,false,1,0,0,SCALOG,1241.6564,0,0
128,10737418240,3,1,1,1,false,1,0,0,SCALOG,509.6641,0,0
128,10737418240,3,1,1,1,false,1,0,0,SCALOG,320.8405,0,0
256,10737418240,3,1,1,1,false,1,0,0,SCALOG,1156.2808,0,0
256,10737418240,3,1,1,1,false,1,0,0,SCALOG,698.8625,0,0
256,10737418240,3,1,1,1,false,1,0,0,SCALOG,680.2047,0,0
512,10737418240,3,1,1,1,false,1,0,0,SCALOG,1108.4282,0,0
512,10737418240,3,1,1,1,false,1,0,0,SCALOG,1340.7043,0,0
512,10737418240,3,1,1,1,false,1,0,0,SCALOG,980.9117,0,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,1341.5043,0,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,1306.6602,0,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,1376.9511,0,0
4096,10737418240,3,1,1,1,false,1,0,0,SCALOG,1642.7687,0,0
4096,10737418240,3,1,1,1,false,1,0,0,SCALOG,1592.8012,0,0
4096,10737418240,3,1,1,1,false,1,0,0,SCALOG,1499.2760,0,0
16384,10737418240,3,1,1,1,false,1,0,0,SCALOG,1593.0110,0,0
16384,10737418240,3,1,1,1,false,1,0,0,SCALOG,1544.8241,0,0
16384,10737418240,3,1,1,1,false,1,0,0,SCALOG,1544.9139,0,0
65536,10737418240,3,1,1,1,false,1,0,0,SCALOG,1592.8493,0,0
65536,10737418240,3,1,1,1,false,1,0,0,SCALOG,2994.2854,0,0
65536,10737418240,3,1,1,1,false,1,0,0,SCALOG,1544.6861,0,0
262144,10737418240,3,1,1,1,false,1,0,0,SCALOG,2825.9235,0,0
262144,10737418240,3,1,1,1,false,1,0,0,SCALOG,1593.1105,0,0
262144,10737418240,3,1,1,1,false,1,0,0,SCALOG,1592.9365,0,0
1048576,10737418240,3,1,1,1,false,1,0,0,SCALOG,2480.8921,0,0
1048576,10737418240,3,1,1,1,false,1,0,0,SCALOG,2991.3245,0,0
1048576,10737418240,3,1,1,1,false,1,0,0,SCALOG,2827.2047,0,0
128,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,1753.5350,0,0
128,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2090.3944,0,0
128,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,1221.2072,0,0
256,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2582.8100,0,0
256,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2194.4956,0,0
256,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,1991.1243,0,0
512,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,3037.1929,0,0
512,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2895.0307,0,0
512,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2863.9128,0,0
1024,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2836.8894,0,0
1024,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,3278.9971,0,0
1024,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2816.3156,0,0
4096,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2768.4714,0,0
4096,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,3252.4044,0,0
4096,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2862.7476,0,0
16384,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2949.0124,0,0
16384,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2844.3877,0,0
16384,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2905.3515,0,0
65536,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2860.3522,0,0
65536,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,3156.8383,0,0
65536,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,3118.4085,0,0
262144,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,3269.8725,0,0
262144,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,2730.3176,0,0
262144,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,3260.1726,0,0
1048576,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,3088.4042,0,0
1048576,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,3031.6158,0,0
