message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,sequencer,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1391.2499,0,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1279.8116,0,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1370.3189,0,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1785.9191,0,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1758.3605,0,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1870.1950,0,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,2036.9066,0,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,2122.7741,0,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,2209.3414,0,0
128,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,1187.1246,0,0
128,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,1147.1254,0,0
128,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,1046.3434,0,0
128,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,1064.4547,0,0
128,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,1096.5008,0,0
256,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,6282.2830,0,0
256,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,5802.2599,0,0
256,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,6259.3979,0,0
512,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,6483.3817,0,0
512,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,7592.2833,0,0
512,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,7022.3728,0,0
1024,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,8303.8061,0,0
1024,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,8122.4666,0,0
1024,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,8158.5616,0,0
4096,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,9260.7538,0,0
4096,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,9166.3660,0,0
4096,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,9035.9507,0,0
16384,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,9342.3143,0,0
16384,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,9659.3085,0,0
16384,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,8827.1182,0,0
65536,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,9077.4696,0,0
65536,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,8789.9042,0,0
65536,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,9414.1348,0,0
262144,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,9765.3991,0,0
262144,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,9644.1597,0,0
262144,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,9190.5411,0,0
1048576,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,9473.0109,0,0
1048576,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,5842.2188,0,0
1048576,10737418240,3,2,4,1,false,1,0,0,EMBARCADERO,9368.1416,0,0
128,10737418240,3,2,2,1,false,1,0,0,CORFU,953.2929,0,0
128,10737418240,3,2,2,1,false,1,0,0,CORFU,1109.8105,0,0
128,10737418240,3,2,2,1,false,1,0,0,CORFU,1283.7780,0,0
256,10737418240,3,2,2,1,false,1,0,0,CORFU,1629.2412,0,0
256,10737418240,3,2,2,1,false,1,0,0,CORFU,1361.7672,0,0
256,10737418240,3,2,2,1,false,1,0,0,CORFU,1704.3889,0,0
512,10737418240,3,2,2,1,false,1,0,0,CORFU,1739.8337,0,0
512,10737418240,3,2,2,1,false,1,0,0,CORFU,1385.9124,0,0
512,10737418240,3,2,2,1,false,1,0,0,CORFU,1665.3515,0,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1853.5313,0,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1804.9851,0,0
1024,10737418240,3,2,2,1,false,1,0,0,CORFU,1730.2831,0,0
4096,10737418240,3,2,2,1,false,1,0,0,CORFU,1925.5827,0,0
4096,10737418240,3,2,2,1,false,1,0,0,CORFU,1898.1730,0,0
4096,10737418240,3,2,2,1,false,1,0,0,CORFU,1882.4794,0,0
16384,10737418240,3,2,2,1,false,1,0,0,CORFU,1912.1760,0,0
16384,10737418240,3,2,2,1,false,1,0,0,CORFU,1684.5736,0,0
16384,10737418240,3,2,2,1,false,1,0,0,CORFU,1751.0474,0,0
65536,10737418240,3,2,2,1,false,1,0,0,CORFU,1870.7037,0,0
65536,10737418240,3,2,2,1,false,1,0,0,CORFU,1801.7789,0,0
65536,10737418240,3,2,2,1,false,1,0,0,CORFU,1838.7352,0,0
65536,10737418240,3,2,2,1,false,1,0,0,CORFU,1933.2333,0,0
65536,10737418240,3,2,2,1,false,1,0,0,CORFU,2012.4116,0,0
65536,10737418240,3,2,2,1,false,1,0,0,CORFU,1790.0640,0,0
262144,10737418240,3,2,2,1,false,1,0,0,CORFU,1810.1544,0,0
262144,10737418240,3,2,2,1,false,1,0,0,CORFU,1795.1477,0,0
262144,10737418240,3,2,2,1,false,1,0,0,CORFU,1777.5127,0,0
262144,10737418240,3,2,2,1,false,1,0,0,CORFU,1859.8305,0,0
1048576,10737418240,3,2,2,1,false,1,0,0,CORFU,2046.7212,0,0
1048576,10737418240,3,2,2,1,false,1,0,0,CORFU,1978.9349,0,0
1048576,10737418240,3,2,2,1,false,1,0,0,CORFU,1995.3907,0,0
128,10737418240,3,1,1,1,false,1,0,0,SCALOG,600.0589,0,0
128,10737418240,3,1,1,1,false,1,0,0,SCALOG,411.3568,0,0
128,10737418240,3,1,1,1,false,1,0,0,SCALOG,476.4866,0,0
128,10737418240,3,1,1,1,false,1,0,0,SCALOG,354.2566,0,0
128,10737418240,3,1,1,1,false,1,0,0,SCALOG,749.5228,0,0
128,10737418240,3,1,1,1,false,1,0,0,SCALOG,472.2398,0,0
256,10737418240,3,1,1,1,false,1,0,0,SCALOG,670.9406,0,0
256,10737418240,3,1,1,1,false,1,0,0,SCALOG,1018.6206,0,0
256,10737418240,3,1,1,1,false,1,0,0,SCALOG,637.4466,0,0
256,10737418240,3,1,1,1,false,1,0,0,SCALOG,629.3506,0,0
256,10737418240,3,1,1,1,false,1,0,0,SCALOG,607.2645,0,0
256,10737418240,3,1,1,1,false,1,0,0,SCALOG,716.9007,0,0
512,10737418240,3,1,1,1,false,1,0,0,SCALOG,1643.3537,0,0
512,10737418240,3,1,1,1,false,1,0,0,SCALOG,1157.7384,0,0
512,10737418240,3,1,1,1,false,1,0,0,SCALOG,1040.8777,0,0
512,10737418240,3,1,1,1,false,1,0,0,SCALOG,1455.4447,0,0
512,10737418240,3,1,1,1,false,1,0,0,SCALOG,1817.4380,0,0
512,10737418240,3,1,1,1,false,1,0,0,SCALOG,1084.4487,0,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,1696.7333,0,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,1887.6264,0,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,1643.0397,0,0
1024,10737418240,3,1,1,1,false,1,0,0,SCALOG,1697.1918,0,0
4096,10737418240,3,1,1,1,false,1,0,0,SCALOG,2827.5314,0,0
4096,10737418240,3,1,1,1,false,1,0,0,SCALOG,2424.2359,0,0
4096,10737418240,3,1,1,1,false,1,0,0,SCALOG,2215.0853,0,0
16384,10737418240,3,1,1,1,false,1,0,0,SCALOG,2825.8696,0,0
16384,10737418240,3,1,1,1,false,1,0,0,SCALOG,2215.2969,0,0
16384,10737418240,3,1,1,1,false,1,0,0,SCALOG,2214.0805,0,0
65536,10737418240,3,1,1,1,false,1,0,0,SCALOG,2214.6222,0,0
65536,10737418240,3,1,1,1,false,1,0,0,SCALOG,2828.1735,0,0
65536,10737418240,3,1,1,1,false,1,0,0,SCALOG,2827.6354,0,0
262144,10737418240,3,1,1,1,false,1,0,0,SCALOG,2215.0737,0,0
262144,10737418240,3,1,1,1,false,1,0,0,SCALOG,2992.2464,0,0
262144,10737418240,3,1,1,1,false,1,0,0,SCALOG,2214.4411,0,0
1048576,10737418240,3,1,1,1,false,1,0,0,SCALOG,2994.7605,0,0
1048576,10737418240,3,1,1,1,false,1,0,0,SCALOG,2992.1730,0,0
1048576,10737418240,3,1,1,1,false,1,0,0,SCALOG,2828.0173,0,0
