publish,subscribe,E2E,msg_size
33.4626,18.5727,34.4499,128
19.6981,17.3962,30.5633,128
31.9666,18.0836,32.6987,128
32.7046,18.412,27.0166,128
20.2122,19.0333,32.4022,128
36.6223,18.4034,32.5227,128
32.8144,18.0854,27.5523,128
33.3796,18.3248,33.5522,128
34.9464,19.7269,45.15,128
35.2777,18.0369,32.2036,128
46.6271,56.3694,44.5716,512
69.4141,39.1236,202.735,512
48.588,60.9924,32.9813,512
65.9812,39.52,86.0983,512
191.906,163.136,41.8834,512
61.4233,52.2431,39.5663,512
45.8055,56.8353,47.0399,512
74.8089,36.3576,46.1703,512
49.3703,129.902,50.817,512
43.9371,93.5783,43.4256,512
413.403,474.449,47.8812,1024
46.6965,314.93,49.6925,1024
48.2624,204.154,47.1264,1024
90.7194,66.4136,79.4597,1024
42.8442,118.694,48.629,1024
48.0448,101.071,49.6094,1024
47.5947,110.879,77.369,1024
78.7024,54.6574,93.2567,1024
71.812,54.9574,79.4942,1024
84.4385,373.822,49.7957,1024
71.6381,75.8197,49.056,4096
51.8726,120.291,49.0853,4096
24.3736,844.984,52.3198,4096
74.4852,78.1076,49.0112,4096
95.3419,66.4625,44.6637,4096
49.1849,162.347,49.1102,4096
24.6699,565.165,75.2579,4096
32.1304,50.1785,97.482,4096
71.5653,154.941,50.6702,4096
48.8502,154.953,83.1895,4096
33.1609,48.0574,49.0598,65536
49.3796,146.128,96.8078,65536
43.2288,48.058,49.5724,65536
49.2483,1017.12,25.4473,65536
48.8599,781.843,66.729,65536
97.9063,69.0521,87.1223,65536
49.3187,138.258,49.5271,65536
49.1732,88.5575,49.3377,65536
47.5237,38.6241,49.3342,65536
48.9479,71.8187,1735.07,65536
32.9312,51.0215,51.9262,1048576
53.3214,494.835,62.7679,1048576
49.3964,140.837,67.4122,1048576
25.6581,286.81,49.3597,1048576
53.7848,158.243,50.358,1048576
51.6936,123.828,64.2931,1048576
84.6914,68.6919,97.8232,1048576
48.9972,72.271,96.6241,1048576
52.5795,652.03,49.2985,1048576
66.3672,87.7483,96.9568,1048576
