message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,sequencer,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
128,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,4570.35,0,4562.36
128,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,5337.88,0,4065.95
128,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,4545.3,0,4530.34
128,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,5257.75,0,3896.6
128,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,4673.42,0,4504.01
256,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,6705.38,0,6432.06
256,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,5837.96,0,5797.49
256,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,7376.49,0,6784.08
256,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,7383.39,0,6733.75
256,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,6734.58,0,6709
512,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,8437.16,0,7416.36
512,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,8850.85,0,7299.84
512,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,8004.62,0,7490.81
512,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,8122.41,0,7566.83
512,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,7240.68,0,7125.92
1024,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,7849.85,0,7849.83
1024,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,9629.65,0,7368.18
1024,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,10347.5,0,7864.13
1024,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,9507.1,0,8049.66
1024,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,8037.64,0,8037.62
4096,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,10652.2,0,8629.26
4096,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,11680.2,0,8058.45
4096,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,9888.71,0,8371.88
4096,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,9641.38,0,9094.32
4096,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,9643.95,0,8350.76
16384,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,9967.09,0,8725.66
16384,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,9993.25,0,9036.06
16384,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,9577.9,0,8779.88
16384,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,10039.1,0,9039.93
16384,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,9205.95,0,8229
65536,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,11396.8,0,9115.81
65536,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,10064.4,0,9311.95
65536,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,12680.1,0,8198.34
65536,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,9849.02,0,8733.66
65536,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,10524.4,0,8462.79
262144,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,11821.3,0,8475.41
262144,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,10976.3,0,9166.86
262144,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,9762.83,0,9071.25
262144,10737418240,3,0,0,0,0,1,0,0,EMBARCADERO,10303.2,0,9043.97
