message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
128,10737418240,3,2,2,0,false,1,0,0,CORFU,2011.5939,0,0
128,10737418240,3,2,2,0,false,1,0,0,CORFU,1971.5960,0,0
128,10737418240,3,2,2,0,false,1,0,0,CORFU,1924.8167,0,0
128,10737418240,3,2,2,0,false,1,0,0,CORFU,1990.8573,0,0
128,10737418240,3,2,2,0,false,1,0,0,CORFU,1930.6990,0,0
256,10737418240,3,2,2,0,false,1,0,0,CORFU,2532.0483,0,0
256,10737418240,3,2,2,0,false,1,0,0,CORFU,2538.5308,0,0
256,10737418240,3,2,2,0,false,1,0,0,CORFU,2490.0881,0,0
256,10737418240,3,2,2,0,false,1,0,0,CORFU,2527.6440,0,0
256,10737418240,3,2,2,0,false,1,0,0,CORFU,2566.2556,0,0
512,10737418240,3,2,2,0,false,1,0,0,CORFU,2925.9897,0,0
512,10737418240,3,2,2,0,false,1,0,0,CORFU,2833.2965,0,0
512,10737418240,3,2,2,0,false,1,0,0,CORFU,2853.9100,0,0
512,10737418240,3,2,2,0,false,1,0,0,CORFU,2597.2055,0,0
512,10737418240,3,2,2,0,false,1,0,0,CORFU,2795.4733,0,0
1024,10737418240,3,2,2,0,false,1,0,0,CORFU,3041.5280,0,0
1024,10737418240,3,2,2,0,false,1,0,0,CORFU,3103.1960,0,0
1024,10737418240,3,2,2,0,false,1,0,0,CORFU,3072.7657,0,0
1024,10737418240,3,2,2,0,false,1,0,0,CORFU,3048.5559,0,0
1024,10737418240,3,2,2,0,false,1,0,0,CORFU,3060.5648,0,0
4096,10737418240,3,2,2,0,false,1,0,0,CORFU,3268.6400,0,0
4096,10737418240,3,2,2,0,false,1,0,0,CORFU,3236.9522,0,0
4096,10737418240,3,2,2,0,false,1,0,0,CORFU,3298.2471,0,0
4096,10737418240,3,2,2,0,false,1,0,0,CORFU,3138.8309,0,0
4096,10737418240,3,2,2,0,false,1,0,0,CORFU,3233.7546,0,0
16384,10737418240,3,2,2,0,false,1,0,0,CORFU,3121.8420,0,0
16384,10737418240,3,2,2,0,false,1,0,0,CORFU,3293.3391,0,0
16384,10737418240,3,2,2,0,false,1,0,0,CORFU,3182.5284,0,0
16384,10737418240,3,2,2,0,false,1,0,0,CORFU,3085.4945,0,0
16384,10737418240,3,2,2,0,false,1,0,0,CORFU,3191.7808,0,0
65536,10737418240,3,2,2,0,false,1,0,0,CORFU,3020.9293,0,0
65536,10737418240,3,2,2,0,false,1,0,0,CORFU,3206.4083,0,0
65536,10737418240,3,2,2,0,false,1,0,0,CORFU,3171.1167,0,0
65536,10737418240,3,2,2,0,false,1,0,0,CORFU,3189.7656,0,0
65536,10737418240,3,2,2,0,false,1,0,0,CORFU,3192.5622,0,0
262144,10737418240,3,2,2,0,false,1,0,0,CORFU,3214.6528,0,0
262144,10737418240,3,2,2,0,false,1,0,0,CORFU,3137.4584,0,0
262144,10737418240,3,2,2,0,false,1,0,0,CORFU,3177.3235,0,0
262144,10737418240,3,2,2,0,false,1,0,0,CORFU,3130.6603,0,0
262144,10737418240,3,2,2,0,false,1,0,0,CORFU,3256.3672,0,0
1048576,10737418240,3,2,2,0,false,1,0,0,CORFU,5342.5023,0,0
1048576,10737418240,3,2,2,0,false,1,0,0,CORFU,5191.3461,0,0
1048576,10737418240,3,2,2,0,false,1,0,0,CORFU,5712.9610,0,0
1048576,10737418240,3,2,2,0,false,1,0,0,CORFU,5624.5423,0,0
1048576,10737418240,3,2,2,0,false,1,0,0,CORFU,5513.6890,0,0
128,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,4031.1328,0,0
128,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,4249.3512,0,0
128,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,4183.8588,0,0
128,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,4587.9497,0,0
128,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,5318.1032,0,0
256,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,9136.3412,0,0
256,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,9232.8202,0,0
256,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,8892.5527,0,0
256,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,8970.5170,0,0
256,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,6757.6178,0,0
512,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,10560.7205,0,0
512,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,11048.8020,0,0
512,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,10257.5802,0,0
512,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,10165.3598,0,0
512,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,10575.9121,0,0
