message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
128,10737418240,3,1,1,0,false,1,0,0,SCALOG,4971.2065,0,0
128,10737418240,3,1,1,0,false,1,0,0,SCALOG,5327.7453,0,0
128,10737418240,3,1,1,0,false,1,0,0,SCALOG,5438.6754,0,0
128,10737418240,3,1,1,0,false,1,0,0,SCALOG,4404.5496,0,0
256,10737418240,3,1,1,0,false,1,0,0,SCALOG,8375.5662,0,0
256,10737418240,3,1,1,0,false,1,0,0,SCALOG,8872.6107,0,0
256,10737418240,3,1,1,0,false,1,0,0,SCALOG,8518.1887,0,0
256,10737418240,3,1,1,0,false,1,0,0,SCALOG,8947.2201,0,0
512,10737418240,3,1,1,0,false,1,0,0,SCALOG,9756.0028,0,0
512,10737418240,3,1,1,0,false,1,0,0,SCALOG,10048.6750,0,0
512,10737418240,3,1,1,0,false,1,0,0,SCALOG,9955.4505,0,0
512,10737418240,3,1,1,0,false,1,0,0,SCALOG,10037.8132,0,0
512,10737418240,3,1,1,0,false,1,0,0,SCALOG,10349.4939,0,0
1024,10737418240,3,1,1,0,false,1,0,0,SCALOG,11409.4164,0,0
1024,10737418240,3,1,1,0,false,1,0,0,SCALOG,10682.5476,0,0
1024,10737418240,3,1,1,0,false,1,0,0,SCALOG,10760.3003,0,0
1024,10737418240,3,1,1,0,false,1,0,0,SCALOG,9283.8865,0,0
4096,10737418240,3,1,1,0,false,1,0,0,SCALOG,12376.4384,0,0
4096,10737418240,3,1,1,0,false,1,0,0,SCALOG,13140.0452,0,0
4096,10737418240,3,1,1,0,false,1,0,0,SCALOG,12963.2208,0,0
4096,10737418240,3,1,1,0,false,1,0,0,SCALOG,13148.9105,0,0
16384,10737418240,3,1,1,0,false,1,0,0,SCALOG,13440.2770,0,0
16384,10737418240,3,1,1,0,false,1,0,0,SCALOG,12211.7561,0,0
16384,10737418240,3,1,1,0,false,1,0,0,SCALOG,12454.6269,0,0
16384,10737418240,3,1,1,0,false,1,0,0,SCALOG,12320.5344,0,0
65536,10737418240,3,1,1,0,false,1,0,0,SCALOG,13146.2916,0,0
65536,10737418240,3,1,1,0,false,1,0,0,SCALOG,12209.5864,0,0
65536,10737418240,3,1,1,0,false,1,0,0,SCALOG,11983.6677,0,0
65536,10737418240,3,1,1,0,false,1,0,0,SCALOG,11973.5699,0,0
262144,10737418240,3,1,1,0,false,1,0,0,SCALOG,13844.0390,0,0
262144,10737418240,3,1,1,0,false,1,0,0,SCALOG,12540.6784,0,0
262144,10737418240,3,1,1,0,false,1,0,0,SCALOG,12879.8769,0,0
262144,10737418240,3,1,1,0,false,1,0,0,SCALOG,12872.0007,0,0
1048576,10737418240,3,1,1,0,false,1,0,0,SCALOG,14046.7743,0,0
1048576,10737418240,3,1,1,0,false,1,0,0,SCALOG,12466.0436,0,0
1048576,10737418240,3,1,1,0,false,1,0,0,SCALOG,12297.4968,0,0
1048576,10737418240,3,1,1,0,false,1,0,0,SCALOG,13194.7806,0,0
