Latency_us,CumulativeProbability,Metric
1741,0.00183486,append_submit_to_ack_batch_latency
2604,0.00366972,append_submit_to_ack_batch_latency
2605,0.00550459,append_submit_to_ack_batch_latency
2608,0.00733945,append_submit_to_ack_batch_latency
2610,0.00917431,append_submit_to_ack_batch_latency
2612,0.01100917,append_submit_to_ack_batch_latency
2615,0.01284404,append_submit_to_ack_batch_latency
2631,0.01467890,append_submit_to_ack_batch_latency
2666,0.01651376,append_submit_to_ack_batch_latency
2667,0.01834862,append_submit_to_ack_batch_latency
2670,0.02018349,append_submit_to_ack_batch_latency
2670,0.02201835,append_submit_to_ack_batch_latency
2672,0.02385321,append_submit_to_ack_batch_latency
2672,0.02568807,append_submit_to_ack_batch_latency
2673,0.02752294,append_submit_to_ack_batch_latency
2673,0.02935780,append_submit_to_ack_batch_latency
2674,0.03119266,append_submit_to_ack_batch_latency
2674,0.03302752,append_submit_to_ack_batch_latency
2675,0.03486239,append_submit_to_ack_batch_latency
2675,0.03669725,append_submit_to_ack_batch_latency
2676,0.03853211,append_submit_to_ack_batch_latency
2676,0.04036697,append_submit_to_ack_batch_latency
2677,0.04220183,append_submit_to_ack_batch_latency
2677,0.04403670,append_submit_to_ack_batch_latency
2677,0.04587156,append_submit_to_ack_batch_latency
2678,0.04770642,append_submit_to_ack_batch_latency
2678,0.04954128,append_submit_to_ack_batch_latency
2678,0.05137615,append_submit_to_ack_batch_latency
2678,0.05321101,append_submit_to_ack_batch_latency
2678,0.05504587,append_submit_to_ack_batch_latency
2679,0.05688073,append_submit_to_ack_batch_latency
2679,0.05871560,append_submit_to_ack_batch_latency
2679,0.06055046,append_submit_to_ack_batch_latency
2679,0.06238532,append_submit_to_ack_batch_latency
2680,0.06422018,append_submit_to_ack_batch_latency
2681,0.06605505,append_submit_to_ack_batch_latency
2681,0.06788991,append_submit_to_ack_batch_latency
2682,0.06972477,append_submit_to_ack_batch_latency
2682,0.07155963,append_submit_to_ack_batch_latency
2682,0.07339450,append_submit_to_ack_batch_latency
2683,0.07522936,append_submit_to_ack_batch_latency
2683,0.07706422,append_submit_to_ack_batch_latency
2683,0.07889908,append_submit_to_ack_batch_latency
2684,0.08073394,append_submit_to_ack_batch_latency
2684,0.08256881,append_submit_to_ack_batch_latency
2684,0.08440367,append_submit_to_ack_batch_latency
2684,0.08623853,append_submit_to_ack_batch_latency
2685,0.08807339,append_submit_to_ack_batch_latency
2685,0.08990826,append_submit_to_ack_batch_latency
2685,0.09174312,append_submit_to_ack_batch_latency
2686,0.09357798,append_submit_to_ack_batch_latency
2686,0.09541284,append_submit_to_ack_batch_latency
2686,0.09724771,append_submit_to_ack_batch_latency
2688,0.09908257,append_submit_to_ack_batch_latency
2688,0.10091743,append_submit_to_ack_batch_latency
2688,0.10275229,append_submit_to_ack_batch_latency
2688,0.10458716,append_submit_to_ack_batch_latency
2689,0.10642202,append_submit_to_ack_batch_latency
2689,0.10825688,append_submit_to_ack_batch_latency
2689,0.11009174,append_submit_to_ack_batch_latency
2689,0.11192661,append_submit_to_ack_batch_latency
2689,0.11376147,append_submit_to_ack_batch_latency
