target_mbps,achieved_offered_load_mbps,achieved_publish_goodput_mbps,achieved_e2e_goodput_mbps,publish_to_deliver_p50_us,publish_to_deliver_p95_us,publish_to_deliver_p99_us,pub_submit_p50_us,pub_submit_p95_us,pub_submit_p99_us,pub_ack_p50_us,pub_ack_p95_us,pub_ack_p99_us,pub_ordered_p50_us,pub_ordered_p95_us,pub_ordered_p99_us,trial,mode,sequencer,order,ack_level,message_size_bytes,total_message_size_bytes,message_count,offered_wire_bytes,offered_payload_bytes,artifact_dir
1000,999.994,940.749,940.738,3159.000,377314.000,495353.000,3017.000,3299.000,3365.000,354.000,589.000,626.000,354.000,589.000,626.000,1,burst,EMBARCADERO,5,1,1024,4294967296,4194304,4563402752,4294967296,/home/domin/Embarcadero-sessions/s2-work/data/latency_vs_load/delta_measure/EMBARCADERO_order5_ack1_rf0/run_20260707T024651Z/points/001_1000mbps/raw/burst/target_1000mbps/EMBARCADERO_order5_ack1_msg1024_bytes4294967296_trial1
1000,999.998,940.776,940.766,4532.000,425134.000,709242.000,2952.000,3206.000,3333.000,360.000,637.000,691.000,360.000,637.000,691.000,2,burst,EMBARCADERO,5,1,1024,4294967296,4194304,4563402752,4294967296,/home/domin/Embarcadero-sessions/s2-work/data/latency_vs_load/delta_measure/EMBARCADERO_order5_ack1_rf0/run_20260707T024651Z/points/001_1000mbps/raw/burst/target_1000mbps/EMBARCADERO_order5_ack1_msg1024_bytes4294967296_trial2
1000,999.999,940.703,940.692,4206.000,475222.000,772460.000,2945.000,3174.000,3265.000,359.000,628.000,686.000,359.000,628.000,686.000,3,burst,EMBARCADERO,5,1,1024,4294967296,4194304,4563402752,4294967296,/home/domin/Embarcadero-sessions/s2-work/data/latency_vs_load/delta_measure/EMBARCADERO_order5_ack1_rf0/run_20260707T024651Z/points/001_1000mbps/raw/burst/target_1000mbps/EMBARCADERO_order5_ack1_msg1024_bytes4294967296_trial3
2000,1999.994,1732.063,1410.751,258737.000,641832.000,1007216.000,1954.000,2206.000,2334.000,344.000,594.000,624.000,344.000,594.000,624.000,1,burst,EMBARCADERO,5,1,1024,4294967296,4194304,4563402752,4294967296,/home/domin/Embarcadero-sessions/s2-work/data/latency_vs_load/delta_measure/EMBARCADERO_order5_ack1_rf0/run_20260707T024651Z/points/002_2000mbps/raw/burst/target_2000mbps/EMBARCADERO_order5_ack1_msg1024_bytes4294967296_trial1
2000,1999.995,1834.084,1242.613,255722.000,691240.000,1359313.000,1941.000,2255.000,2546.000,355.000,654.000,708.000,355.000,654.000,708.000,2,burst,EMBARCADERO,5,1,1024,4294967296,4194304,4563402752,4294967296,/home/domin/Embarcadero-sessions/s2-work/data/latency_vs_load/delta_measure/EMBARCADERO_order5_ack1_rf0/run_20260707T024651Z/points/002_2000mbps/raw/burst/target_2000mbps/EMBARCADERO_order5_ack1_msg1024_bytes4294967296_trial2
2000,1999.963,1730.587,1403.668,241952.000,597908.000,1013921.000,1932.000,2178.000,2485.000,313.000,589.000,683.000,313.000,589.000,683.000,3,burst,EMBARCADERO,5,1,1024,4294967296,4194304,4563402752,4294967296,/home/domin/Embarcadero-sessions/s2-work/data/latency_vs_load/delta_measure/EMBARCADERO_order5_ack1_rf0/run_20260707T024651Z/points/002_2000mbps/raw/burst/target_2000mbps/EMBARCADERO_order5_ack1_msg1024_bytes4294967296_trial3
4000,3999.804,3756.274,1215.027,905569.000,1691338.000,2224240.000,1353.000,1930.000,2214.000,247.000,648.000,858.000,247.000,648.000,858.000,1,burst,EMBARCADERO,5,1,1024,4294967296,4194304,4563402752,4294967296,/home/domin/Embarcadero-sessions/s2-work/data/latency_vs_load/delta_measure/EMBARCADERO_order5_ack1_rf0/run_20260707T024651Z/points/003_4000mbps/raw/burst/target_4000mbps/EMBARCADERO_order5_ack1_msg1024_bytes4294967296_trial1
4000,3999.824,3757.985,1276.683,991976.000,1847925.000,2170671.000,1348.000,1894.000,1978.000,223.000,636.000,779.000,223.000,636.000,779.000,2,burst,EMBARCADERO,5,1,1024,4294967296,4194304,4563402752,4294967296,/home/domin/Embarcadero-sessions/s2-work/data/latency_vs_load/delta_measure/EMBARCADERO_order5_ack1_rf0/run_20260707T024651Z/points/003_4000mbps/raw/burst/target_4000mbps/EMBARCADERO_order5_ack1_msg1024_bytes4294967296_trial2
4000,3999.315,3757.686,1231.406,918563.000,1705911.000,2194972.000,1378.000,1872.000,2058.000,281.000,612.000,718.000,281.000,612.000,718.000,3,burst,EMBARCADERO,5,1,1024,4294967296,4194304,4563402752,4294967296,/home/domin/Embarcadero-sessions/s2-work/data/latency_vs_load/delta_measure/EMBARCADERO_order5_ack1_rf0/run_20260707T024651Z/points/003_4000mbps/raw/burst/target_4000mbps/EMBARCADERO_order5_ack1_msg1024_bytes4294967296_trial3
6000,5999.742,5527.685,1249.041,1293172.000,2412710.000,2575283.000,1262.000,1766.000,2083.000,305.000,586.000,768.000,305.000,586.000,768.000,1,burst,EMBARCADERO,5,1,1024,4294967296,4194304,4563402752,4294967296,/home/domin/Embarcadero-sessions/s2-work/data/latency_vs_load/delta_measure/EMBARCADERO_order5_ack1_rf0/run_20260707T024651Z/points/004_6000mbps/raw/burst/target_6000mbps/EMBARCADERO_order5_ack1_msg1024_bytes4294967296_trial1
