producer,consumer,partition,replication,ack,media,throughput,latency
1,1,1,1,all,cxl,629.726,97883.0
1,1,1,1,all,cxl,700.8,77323.0
1,1,1,1,all,cxl,513.574,84320.0
1,1,1,1,all,cxl,599.229,126525.0
1,1,1,1,all,cxl,563.843,95158.0
1,1,2,1,all,cxl,635.08,30803.0
1,1,2,1,all,cxl,550.738,28243.0
1,1,2,1,all,cxl,805.895,51741.0
1,1,2,1,all,cxl,719.353,31108.0
1,1,2,1,all,cxl,525.659,24439.0
1,1,4,1,all,cxl,606.078,14938.0
1,1,4,1,all,cxl,860.753,20338.0
1,1,4,1,all,cxl,638.614,12848.0
1,1,4,1,all,cxl,603.453,17000.0
1,1,4,1,all,cxl,504.564,12063.0
1,1,8,1,all,cxl,623.013,11829.0
1,1,8,1,all,cxl,713.027,12165.0
1,1,8,1,all,cxl,701.878,12430.0
1,1,8,1,all,cxl,590.121,11032.0
1,1,8,1,all,cxl,650.552,12153.0
1,1,4,1,all,cxl,636.139,17069.0
1,1,4,1,all,cxl,749.89,17186.0
1,1,4,1,all,cxl,615.162,15904.0
1,1,4,1,all,cxl,552.974,13973.0
1,1,4,1,all,cxl,624.836,17057.0
2,1,4,1,all,cxl,649.354,36421.0
2,1,4,1,all,cxl,549.585,27699.0
2,1,4,1,all,cxl,452.824,126341.0
2,1,4,1,all,cxl,267.811,4865953.0
2,1,4,1,all,cxl,626.62,26749.0
4,1,4,1,all,cxl,68.6332,16004454.0
4,1,4,1,all,cxl,58.1712,15245241.0
4,1,4,1,all,cxl,45.0523,29692035.0
4,1,4,1,all,cxl,66.3173,19397700.0
4,1,4,1,all,cxl,94.822,11426033.0
8,1,4,1,all,cxl,208.672,2097643.0
8,1,4,1,all,cxl,18.171,33399090.0
8,1,4,1,all,cxl,74.9587,7965084.0
8,1,4,1,all,cxl,54.6928,9430555.0
8,1,4,1,all,cxl,51.1547,10742988.0
